"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1928 Amsterdam","Betty Robinson United States","Fanny Rosenfeld Canada","Ethel Smith Canada","100 metres","women","1928","Amsterdam","Running","Betty Robinson ","Fanny Rosenfeld ","Ethel Smith ","United States","Canada","Canada"
"1932 Los Angeles","Stanislawa Walasiewicz Poland","Hilda Strike Canada","Wilhelmina von Bremen United States","100 metres","women","1932","Los Angeles","Running","Stanislawa Walasiewicz ","Hilda Strike ","Wilhelmina von Bremen ","Poland","Canada","United States"
"1936 Berlin","Helen Stephens United States","Stanislawa Walasiewicz Poland","Käthe Krauß Germany","100 metres","women","1936","Berlin","Running","Helen Stephens ","Stanislawa Walasiewicz ","Käthe Krauß ","United States","Poland","Germany"
"1948 London","Fanny Blankers-Koen Netherlands","Dorothy Manley Great Britain","Shirley Strickland Australia","100 metres","women","1948","London","Running","Fanny Blankers-Koen ","Dorothy Manley ","Shirley Strickland ","Netherlands","Great Britain","Australia"
"1952 Helsinki","Marjorie Jackson Australia","Daphne Hasenjager South Africa","Shirley Strickland de la Hunty Australia","100 metres","women","1952","Helsinki","Running","Marjorie Jackson ","Daphne Hasenjager ","Shirley Strickland de la Hunty ","Australia","South Africa","Australia"
"1956 Melbourne","Betty Cuthbert Australia","Christa Stubnick United Team of Germany","Marlene Matthews Australia","100 metres","women","1956","Melbourne","Running","Betty Cuthbert ","Christa Stubnick ","Marlene Matthews ","Australia","United Team of Germany","Australia"
"1960 Rome","Wilma Rudolph United States","Dorothy Hyman Great Britain","Giuseppina Leone Italy","100 metres","women","1960","Rome","Running","Wilma Rudolph ","Dorothy Hyman ","Giuseppina Leone ","United States","Great Britain","Italy"
"1964 Tokyo","Wyomia Tyus United States","Edith McGuire United States","Ewa Klobukowska Poland","100 metres","women","1964","Tokyo","Running","Wyomia Tyus ","Edith McGuire ","Ewa Klobukowska ","United States","United States","Poland"
"1968 Mexico City","Wyomia Tyus United States","Barbara Ferrell United States","Irena Szewinska Poland","100 metres","women","1968","Mexico City","Running","Wyomia Tyus ","Barbara Ferrell ","Irena Szewinska ","United States","United States","Poland"
"1972 Munich","Renate Stecher East Germany","Raelene Boyle Australia","Silvia Chivás Cuba","100 metres","women","1972","Munich","Running","Renate Stecher ","Raelene Boyle ","Silvia Chivás ","East Germany","Australia","Cuba"
"1976 Montreal","Annegret Richter West Germany","Renate Stecher East Germany","Inge Helten West Germany","100 metres","women","1976","Montreal","Running","Annegret Richter ","Renate Stecher ","Inge Helten ","West Germany","East Germany","West Germany"
"1980 Moscow","Lyudmila Kondratyeva Soviet Union","Marlies Göhr East Germany","Ingrid Auerswald East Germany","100 metres","women","1980","Moscow","Running","Lyudmila Kondratyeva ","Marlies Göhr ","Ingrid Auerswald ","Soviet Union","East Germany","East Germany"
"1984 Los Angeles","Evelyn Ashford United States","Alice Brown United States","Merlene Ottey Jamaica","100 metres","women","1984","Los Angeles","Running","Evelyn Ashford ","Alice Brown ","Merlene Ottey ","United States","United States","Jamaica"
"1988 Seoul","Florence Griffith-Joyner United States","Evelyn Ashford United States","Heike Drechsler East Germany","100 metres","women","1988","Seoul","Running","Florence Griffith-Joyner ","Evelyn Ashford ","Heike Drechsler ","United States","United States","East Germany"
"1992 Barcelona","Gail Devers United States","Juliet Cuthbert Jamaica","Irina Privalova Unified Team","100 metres","women","1992","Barcelona","Running","Gail Devers ","Juliet Cuthbert ","Irina Privalova ","United States","Jamaica","Unified Team"
"1996 Atlanta","Gail Devers United States","Merlene Ottey Jamaica","Gwen Torrence United States","100 metres","women","1996","Atlanta","Running","Gail Devers ","Merlene Ottey ","Gwen Torrence ","United States","Jamaica","United States"
"2000 Sydney","Vacant[1]","Ekaterini Thanou Greece & Tayna Lawrence Jamaica","Merlene Ottey Jamaica","100 metres","women","2000","Sydney","Running","Vacant[1]","Ekaterini Thanou  & Tayna Lawrence ","Merlene Ottey ",NA,"Greece","Jamaica"
"2004 Athens","Yulia Nestsiarenka Belarus","Lauryn Williams United States","Veronica Campbell Jamaica","100 metres","women","2004","Athens","Running","Yulia Nestsiarenka ","Lauryn Williams ","Veronica Campbell ","Belarus","United States","Jamaica"
"2008 Beijing","Shelly-Ann Fraser Jamaica","Sherone Simpson Jamaica & Kerron Stewart Jamaica","none awarded","100 metres","women","2008","Beijing","Running","Shelly-Ann Fraser ","Sherone Simpson  & Kerron Stewart ","none awarded","Jamaica","Jamaica",NA
"2012 London","Shelly-Ann Fraser-Pryce Jamaica","Carmelita Jeter United States","Veronica Campbell-Brown Jamaica","100 metres","women","2012","London","Running","Shelly-Ann Fraser-Pryce ","Carmelita Jeter ","Veronica Campbell-Brown ","Jamaica","United States","Jamaica"
"2016 Rio de Janeiro","Elaine Thompson Jamaica","Tori Bowie United States","Shelly-Ann Fraser-Pryce Jamaica","100 metres","women","2016","Rio de Janeiro","Running","Elaine Thompson ","Tori Bowie ","Shelly-Ann Fraser-Pryce ","Jamaica","United States","Jamaica"
"1948 London","Fanny Blankers-Koen Netherlands","Audrey Williamson Great Britain","Audrey Patterson United States","200 metres","women","1948","London","Running","Fanny Blankers-Koen ","Audrey Williamson ","Audrey Patterson ","Netherlands","Great Britain","United States"
"1952 Helsinki","Marjorie Jackson Australia","Bertha Brouwer Netherlands","Nadezhda Khnykina-Dvalishvili Soviet Union","200 metres","women","1952","Helsinki","Running","Marjorie Jackson ","Bertha Brouwer ","Nadezhda Khnykina-Dvalishvili ","Australia","Netherlands","Soviet Union"
"1956 Melbourne","Betty Cuthbert Australia","Christa Stubnick United Team of Germany","Marlene Mathews Australia","200 metres","women","1956","Melbourne","Running","Betty Cuthbert ","Christa Stubnick ","Marlene Mathews ","Australia","United Team of Germany","Australia"
"1960 Rome","Wilma Rudolph United States","Jutta Heine United Team of Germany","Dorothy Hyman Great Britain","200 metres","women","1960","Rome","Running","Wilma Rudolph ","Jutta Heine ","Dorothy Hyman ","United States","United Team of Germany","Great Britain"
"1964 Tokyo","Edith McGuire United States","Irena Kirszenstein Poland","Marilyn Black Australia","200 metres","women","1964","Tokyo","Running","Edith McGuire ","Irena Kirszenstein ","Marilyn Black ","United States","Poland","Australia"
"1968 Mexico City","Irena Szewinska Poland","Raelene Boyle Australia","Jenny Lamy Australia","200 metres","women","1968","Mexico City","Running","Irena Szewinska ","Raelene Boyle ","Jenny Lamy ","Poland","Australia","Australia"
"1972 Munich","Renate Stecher East Germany","Raelene Boyle Australia","Irena Szewinska Poland","200 metres","women","1972","Munich","Running","Renate Stecher ","Raelene Boyle ","Irena Szewinska ","East Germany","Australia","Poland"
"1976 Montreal","Bärbel Eckert East Germany","Annegret Richter West Germany","Renate Stecher East Germany","200 metres","women","1976","Montreal","Running","Bärbel Eckert ","Annegret Richter ","Renate Stecher ","East Germany","West Germany","East Germany"
"1980 Moscow","Bärbel Wöckel East Germany","Natalya Bochina Soviet Union","Merlene Ottey Jamaica","200 metres","women","1980","Moscow","Running","Bärbel Wöckel ","Natalya Bochina ","Merlene Ottey ","East Germany","Soviet Union","Jamaica"
"1984 Los Angeles","Valerie Brisco-Hooks United States","Florence Griffith United States","Merlene Ottey Jamaica","200 metres","women","1984","Los Angeles","Running","Valerie Brisco-Hooks ","Florence Griffith ","Merlene Ottey ","United States","United States","Jamaica"
"1988 Seoul","Florence Griffith-Joyner United States","Grace Jackson Jamaica","Heike Drechsler East Germany","200 metres","women","1988","Seoul","Running","Florence Griffith-Joyner ","Grace Jackson ","Heike Drechsler ","United States","Jamaica","East Germany"
"1992 Barcelona","Gwen Torrence United States","Juliet Cuthbert Jamaica","Merlene Ottey Jamaica","200 metres","women","1992","Barcelona","Running","Gwen Torrence ","Juliet Cuthbert ","Merlene Ottey ","United States","Jamaica","Jamaica"
"1996 Atlanta","Marie-José Pérec France","Merlene Ottey Jamaica","Mary Onyali Nigeria","200 metres","women","1996","Atlanta","Running","Marie-José Pérec ","Merlene Ottey ","Mary Onyali ","France","Jamaica","Niger"
"2000 Sydney","Pauline Davis-Thompson Bahamas","Susanthika Jayasinghe Sri Lanka","Beverly McDonald Jamaica","200 metres","women","2000","Sydney","Running","Pauline Davis-Thompson Bahamas","Susanthika Jayasinghe ","Beverly McDonald ",NA,"Sri Lanka","Jamaica"
"2004 Athens","Veronica Campbell Jamaica","Allyson Felix United States","Debbie Ferguson Bahamas","200 metres","women","2004","Athens","Running","Veronica Campbell ","Allyson Felix ","Debbie Ferguson Bahamas","Jamaica","United States",NA
"2008 Beijing","Veronica Campbell-Brown Jamaica","Allyson Felix United States","Kerron Stewart Jamaica","200 metres","women","2008","Beijing","Running","Veronica Campbell-Brown ","Allyson Felix ","Kerron Stewart ","Jamaica","United States","Jamaica"
"2012 London","Allyson Felix United States","Shelly-Ann Fraser-Pryce Jamaica","Carmelita Jeter United States","200 metres","women","2012","London","Running","Allyson Felix ","Shelly-Ann Fraser-Pryce ","Carmelita Jeter ","United States","Jamaica","United States"
"2016 Rio de Janeiro","Elaine Thompson Jamaica","Dafne Schippers Netherlands","Tori Bowie United States","200 metres","women","2016","Rio de Janeiro","Running","Elaine Thompson ","Dafne Schippers ","Tori Bowie ","Jamaica","Netherlands","United States"
"1964 Tokyo","Betty Cuthbert Australia","Ann Packer Great Britain","Judy Amoore Australia","400 metres","women","1964","Tokyo","Running","Betty Cuthbert ","Ann Packer ","Judy Amoore ","Australia","Great Britain","Australia"
"1968 Mexico City","Colette Besson France","Lillian Board Great Britain","Natalya Pechonkina Soviet Union","400 metres","women","1968","Mexico City","Running","Colette Besson ","Lillian Board ","Natalya Pechonkina ","France","Great Britain","Soviet Union"
"1972 Munich","Monika Zehrt East Germany","Rita Wilden West Germany","Kathy Hammond United States","400 metres","women","1972","Munich","Running","Monika Zehrt ","Rita Wilden ","Kathy Hammond ","East Germany","West Germany","United States"
"1976 Montreal","Irena Szewinska Poland","Christina Brehmer East Germany","Ellen Streidt East Germany","400 metres","women","1976","Montreal","Running","Irena Szewinska ","Christina Brehmer ","Ellen Streidt ","Poland","East Germany","East Germany"
"1980 Moscow","Marita Koch East Germany","Jarmila Kratochvílová Czechoslovakia","Christina Lathan East Germany","400 metres","women","1980","Moscow","Running","Marita Koch ","Jarmila Kratochvílová ","Christina Lathan ","East Germany","Czechoslovakia","East Germany"
"1984 Los Angeles","Valerie Brisco-Hooks United States","Chandra Cheeseborough United States","Kathy Smallwood-Cook Great Britain","400 metres","women","1984","Los Angeles","Running","Valerie Brisco-Hooks ","Chandra Cheeseborough ","Kathy Smallwood-Cook ","United States","United States","Great Britain"
"1988 Seoul","Olga Bryzgina Soviet Union","Petra Müller East Germany","Olga Nazarova Soviet Union","400 metres","women","1988","Seoul","Running","Olga Bryzgina ","Petra Müller ","Olga Nazarova ","Soviet Union","East Germany","Soviet Union"
"1992 Barcelona","Marie-José Pérec France","Olga Bryzgina Unified Team","Ximena Restrepo Colombia","400 metres","women","1992","Barcelona","Running","Marie-José Pérec ","Olga Bryzgina ","Ximena Restrepo ","France","Unified Team","Colombia"
"1996 Atlanta","Marie-José Pérec France","Cathy Freeman Australia","Falilat Ogunkoya Nigeria","400 metres","women","1996","Atlanta","Running","Marie-José Pérec ","Cathy Freeman ","Falilat Ogunkoya ","France","Australia","Niger"
"2000 Sydney","Cathy Freeman Australia","Lorraine Graham Jamaica","Katharine Merry Great Britain","400 metres","women","2000","Sydney","Running","Cathy Freeman ","Lorraine Graham ","Katharine Merry ","Australia","Jamaica","Great Britain"
"2004 Athens","Tonique Williams-Darling Bahamas","Ana Guevara Mexico","Natalya Antyukh Russia","400 metres","women","2004","Athens","Running","Tonique Williams-Darling Bahamas","Ana Guevara ","Natalya Antyukh ",NA,"Mexico","Russia"
"2008 Beijing","Christine Ohuruogu Great Britain","Shericka Williams Jamaica","Sanya Richards United States","400 metres","women","2008","Beijing","Running","Christine Ohuruogu ","Shericka Williams ","Sanya Richards ","Great Britain","Jamaica","United States"
"2012 London","Sanya Richards-Ross United States","Christine Ohuruogu Great Britain","DeeDee Trotter United States","400 metres","women","2012","London","Running","Sanya Richards-Ross ","Christine Ohuruogu ","DeeDee Trotter ","United States","Great Britain","United States"
"2016 Rio de Janeiro","Shaunae Miller Bahamas","Allyson Felix United States","Shericka Jackson Jamaica","400 metres","women","2016","Rio de Janeiro","Running","Shaunae Miller Bahamas","Allyson Felix ","Shericka Jackson ",NA,"United States","Jamaica"
"1928 Amsterdam","Lina Radke Germany","Kinuye Hitomi Japan","Inga Gentzel Sweden","800 metres","women","1928","Amsterdam","Running","Lina Radke ","Kinuye Hitomi ","Inga Gentzel ","Germany","Japan","Sweden"
"1960 Rome","Lyudmila Shevtsova Soviet Union","Brenda Jones Australia","Ursula Donath United Team of Germany","800 metres","women","1960","Rome","Running","Lyudmila Shevtsova ","Brenda Jones ","Ursula Donath ","Soviet Union","Australia","United Team of Germany"
"1964 Tokyo","Ann Packer Great Britain","Maryvonne Dupureur France","Marise Chamberlain New Zealand","800 metres","women","1964","Tokyo","Running","Ann Packer ","Maryvonne Dupureur ","Marise Chamberlain ","Great Britain","France","New Zealand"
"1968 Mexico City","Madeline Manning United States","Ilona Silai Romania","Mia Gommers Netherlands","800 metres","women","1968","Mexico City","Running","Madeline Manning ","Ilona Silai ","Mia Gommers ","United States","Romania","Netherlands"
"1972 Munich","Hildegard Falck West Germany","Nijole Sabaite Soviet Union","Gunhild Hoffmeister East Germany","800 metres","women","1972","Munich","Running","Hildegard Falck ","Nijole Sabaite ","Gunhild Hoffmeister ","West Germany","Soviet Union","East Germany"
"1976 Montreal","Tatyana Kazankina Soviet Union","Nikolina Shtereva Bulgaria","Elfi Zinn East Germany","800 metres","women","1976","Montreal","Running","Tatyana Kazankina ","Nikolina Shtereva ","Elfi Zinn ","Soviet Union","Bulgaria","East Germany"
"1980 Moscow","Nadiya Olizarenko Soviet Union","Olga Mineyeva Soviet Union","Tatyana Providokhina Soviet Union","800 metres","women","1980","Moscow","Running","Nadiya Olizarenko ","Olga Mineyeva ","Tatyana Providokhina ","Soviet Union","Soviet Union","Soviet Union"
"1984 Los Angeles","Doina Melinte Romania","Kim Gallagher United States","Fita Lovin Romania","800 metres","women","1984","Los Angeles","Running","Doina Melinte ","Kim Gallagher ","Fita Lovin ","Romania","United States","Romania"
"1988 Seoul","Sigrun Wodars East Germany","Christine Wachtel East Germany","Kim Gallagher United States","800 metres","women","1988","Seoul","Running","Sigrun Wodars ","Christine Wachtel ","Kim Gallagher ","East Germany","East Germany","United States"
"1992 Barcelona","Ellen van Langen Netherlands","Liliya Nurutdinova Unified Team","Ana Fidelia Quirot Cuba","800 metres","women","1992","Barcelona","Running","Ellen van Langen ","Liliya Nurutdinova ","Ana Fidelia Quirot ","Netherlands","Unified Team","Cuba"
"1996 Atlanta","Svetlana Masterkova Russia","Ana Fidelia Quirot Cuba","Maria Mutola Mozambique","800 metres","women","1996","Atlanta","Running","Svetlana Masterkova ","Ana Fidelia Quirot ","Maria Mutola ","Russia","Cuba","Mozambique"
"2000 Sydney","Maria Mutola Mozambique","Stephanie Graf Austria","Kelly Holmes Great Britain","800 metres","women","2000","Sydney","Running","Maria Mutola ","Stephanie Graf ","Kelly Holmes ","Mozambique","Austria","Great Britain"
"2004 Athens","Kelly Holmes Great Britain","Hasna Benhassi Morocco","Jolanda Ceplak Slovenia","800 metres","women","2004","Athens","Running","Kelly Holmes ","Hasna Benhassi ","Jolanda Ceplak ","Great Britain","Morocco","Slovenia"
"2008 Beijing","Pamela Jelimo Kenya","Janeth Jepkosgei Kenya","Hasna Benhassi Morocco","800 metres","women","2008","Beijing","Running","Pamela Jelimo ","Janeth Jepkosgei ","Hasna Benhassi ","Kenya","Kenya","Morocco"
"2012 London","Caster Semenya South Africa[2]","Ekaterina Poistogova Russia","Vacant","800 metres","women","2012","London","Running","Caster Semenya [2]","Ekaterina Poistogova ","Vacant","South Africa","Russia",NA
"2016 Rio","Caster Semenya South Africa","Francine Niyonsaba Burundi","Margaret Wambui Kenya","800 metres","women","2016","Rio","Running","Caster Semenya ","Francine Niyonsaba ","Margaret Wambui ","South Africa","Burundi","Kenya"
"1972 Munich","Lyudmila Bragina Soviet Union","Gunhild Hoffmeister East Germany","Paola Pigni Italy","1500 metres","women","1972","Munich","Running","Lyudmila Bragina ","Gunhild Hoffmeister ","Paola Pigni ","Soviet Union","East Germany","Italy"
"1976 Montreal","Tatyana Kazankina Soviet Union","Gunhild Hoffmeister East Germany","Ulrike Klapezynski East Germany","1500 metres","women","1976","Montreal","Running","Tatyana Kazankina ","Gunhild Hoffmeister ","Ulrike Klapezynski ","Soviet Union","East Germany","East Germany"
"1980 Moscow","Tatyana Kazankina Soviet Union","Christiane Wartenberg East Germany","Nadiya Olizarenko Soviet Union","1500 metres","women","1980","Moscow","Running","Tatyana Kazankina ","Christiane Wartenberg ","Nadiya Olizarenko ","Soviet Union","East Germany","Soviet Union"
"1984 Los Angeles","Gabriella Dorio Italy","Doina Melinte Romania","Maricica Puica Romania","1500 metres","women","1984","Los Angeles","Running","Gabriella Dorio ","Doina Melinte ","Maricica Puica ","Italy","Romania","Romania"
"1988 Seoul","Paula Ivan Romania","Laimute Baikauskaite Soviet Union","Tetyana Samolenko Soviet Union","1500 metres","women","1988","Seoul","Running","Paula Ivan ","Laimute Baikauskaite ","Tetyana Samolenko ","Romania","Soviet Union","Soviet Union"
"1992 Barcelona","Hassiba Boulmerka Algeria","Lyudmila Rogachova Unified Team","Qu Yunxia China","1500 metres","women","1992","Barcelona","Running","Hassiba Boulmerka ","Lyudmila Rogachova ","Qu Yunxia ","Algeria","Unified Team","China"
"1996 Atlanta","Svetlana Masterkova Russia","Gabriela Szabo Romania","Theresia Kiesl Austria","1500 metres","women","1996","Atlanta","Running","Svetlana Masterkova ","Gabriela Szabo ","Theresia Kiesl ","Russia","Romania","Austria"
"2000 Sydney","Nouria Mérah-Benida Algeria","Violeta Szekely Romania","Gabriela Szabo Romania","1500 metres","women","2000","Sydney","Running","Nouria Mérah-Benida ","Violeta Szekely ","Gabriela Szabo ","Algeria","Romania","Romania"
"2004 Athens","Kelly Holmes Great Britain","Tatyana Tomashova Russia","Maria Cioncan Romania","1500 metres","women","2004","Athens","Running","Kelly Holmes ","Tatyana Tomashova ","Maria Cioncan ","Great Britain","Russia","Romania"
"2008 Beijing","Nancy Langat Kenya","Iryna Lishchynska Ukraine","Nataliya Tobias Ukraine","1500 metres","women","2008","Beijing","Running","Nancy Langat ","Iryna Lishchynska ","Nataliya Tobias ","Kenya","Ukraine","Ukraine"
"2012 London","Maryam Yusuf Jamal Bahrain[3]","Tatyana Tomashova Russia","Abeba Aregawi Ethiopia","1500 metres","women","2012","London","Running","Maryam Yusuf Jamal Bahrain[3]","Tatyana Tomashova ","Abeba Aregawi ",NA,"Russia","Ethiopia"
"2016 Rio de Janeiro","Faith Kipyegon Kenya","Genzebe Dibaba Ethiopia","Jennifer Simpson United States","1500 metres","women","2016","Rio de Janeiro","Running","Faith Kipyegon ","Genzebe Dibaba ","Jennifer Simpson ","Kenya","Ethiopia","United States"
"1996 Atlanta","Wang Junxia China","Pauline Konga Kenya","Roberta Brunet Italy","5000 metres","women","1996","Atlanta","Running","Wang Junxia ","Pauline Konga ","Roberta Brunet ","China","Kenya","Italy"
"2000 Sydney","Gabriela Szabo Romania","Sonia O'Sullivan Ireland","Gete Wami Ethiopia","5000 metres","women","2000","Sydney","Running","Gabriela Szabo ","Sonia O'Sullivan ","Gete Wami ","Romania","Ireland","Ethiopia"
"2004 Athens","Meseret Defar Ethiopia","Isabella Ochichi Kenya","Tirunesh Dibaba Ethiopia","5000 metres","women","2004","Athens","Running","Meseret Defar ","Isabella Ochichi ","Tirunesh Dibaba ","Ethiopia","Kenya","Ethiopia"
"2008 Beijing","Tirunesh Dibaba Ethiopia","Elvan Abeylegesse Turkey","Meseret Defar Ethiopia","5000 metres","women","2008","Beijing","Running","Tirunesh Dibaba ","Elvan Abeylegesse ","Meseret Defar ","Ethiopia","Turkey","Ethiopia"
"2012 London","Meseret Defar Ethiopia","Vivian Cheruiyot Kenya","Tirunesh Dibaba Ethiopia","5000 metres","women","2012","London","Running","Meseret Defar ","Vivian Cheruiyot ","Tirunesh Dibaba ","Ethiopia","Kenya","Ethiopia"
"2016 Rio de Janeiro","Vivian Cheruiyot Kenya","Hellen Obiri Kenya","Almaz Ayana Ethiopia","5000 metres","women","2016","Rio de Janeiro","Running","Vivian Cheruiyot ","Hellen Obiri ","Almaz Ayana ","Kenya","Kenya","Ethiopia"
"1988 Seoul","Olga Bondarenko Soviet Union","Liz McColgan Great Britain","Yelena Zhupiyeva-Vyazova Soviet Union","10,000 metres","women","1988","Seoul","Running","Olga Bondarenko ","Liz McColgan ","Yelena Zhupiyeva-Vyazova ","Soviet Union","Great Britain","Soviet Union"
"1992 Barcelona","Derartu Tulu Ethiopia","Elana Meyer South Africa","Lynn Jennings United States","10,000 metres","women","1992","Barcelona","Running","Derartu Tulu ","Elana Meyer ","Lynn Jennings ","Ethiopia","South Africa","United States"
"1996 Atlanta","Fernanda Ribeiro Portugal","Wang Junxia China","Gete Wami Ethiopia","10,000 metres","women","1996","Atlanta","Running","Fernanda Ribeiro ","Wang Junxia ","Gete Wami ","Portugal","China","Ethiopia"
"2000 Sydney","Derartu Tulu Ethiopia","Gete Wami Ethiopia","Fernanda Ribeiro Portugal","10,000 metres","women","2000","Sydney","Running","Derartu Tulu ","Gete Wami ","Fernanda Ribeiro ","Ethiopia","Ethiopia","Portugal"
"2004 Athens","Xing Huina China","Ejagayehu Dibaba Ethiopia","Derartu Tulu Ethiopia","10,000 metres","women","2004","Athens","Running","Xing Huina ","Ejagayehu Dibaba ","Derartu Tulu ","China","Ethiopia","Ethiopia"
"2008 Beijing","Tirunesh Dibaba Ethiopia","Elvan Abeylegesse Turkey","Shalane Flanagan United States","10,000 metres","women","2008","Beijing","Running","Tirunesh Dibaba ","Elvan Abeylegesse ","Shalane Flanagan ","Ethiopia","Turkey","United States"
"2012 London","Tirunesh Dibaba Ethiopia","Sally Kipyego Kenya","Vivian Cheruiyot Kenya","10,000 metres","women","2012","London","Running","Tirunesh Dibaba ","Sally Kipyego ","Vivian Cheruiyot ","Ethiopia","Kenya","Kenya"
"2016 Rio de Janeiro","Almaz Ayana Ethiopia","Vivian Cheruiyot Kenya","Tirunesh Dibaba Ethiopia","10,000 metres","women","2016","Rio de Janeiro","Running","Almaz Ayana ","Vivian Cheruiyot ","Tirunesh Dibaba ","Ethiopia","Kenya","Ethiopia"
"1984 Los Angeles","Joan Benoit United States","Grete Waitz Norway","Rosa Mota Portugal","Marathon","women","1984","Los Angeles","Running","Joan Benoit ","Grete Waitz ","Rosa Mota ","United States","Norway","Portugal"
"1988 Seoul","Rosa Mota Portugal","Lisa Martin Australia","Katrin Dörre East Germany","Marathon","women","1988","Seoul","Running","Rosa Mota ","Lisa Martin ","Katrin Dörre ","Portugal","Australia","East Germany"
"1992 Barcelona","Valentina Yegorova Unified Team","Yuko Arimori Japan","Lorraine Moller New Zealand","Marathon","women","1992","Barcelona","Running","Valentina Yegorova ","Yuko Arimori ","Lorraine Moller ","Unified Team","Japan","New Zealand"
"1996 Atlanta","Fatuma Roba Ethiopia","Valentina Yegorova Russia","Yuko Arimori Japan","Marathon","women","1996","Atlanta","Running","Fatuma Roba ","Valentina Yegorova ","Yuko Arimori ","Ethiopia","Russia","Japan"
"2000 Sydney","Naoko Takahashi Japan","Lidia <U+0218>imon Romania","Joyce Chepchumba Kenya","Marathon","women","2000","Sydney","Running","Naoko Takahashi ","Lidia <U+0218>imon ","Joyce Chepchumba ","Japan","Romania","Kenya"
"2004 Athens","Mizuki Noguchi Japan","Catherine Ndereba Kenya","Deena Kastor United States","Marathon","women","2004","Athens","Running","Mizuki Noguchi ","Catherine Ndereba ","Deena Kastor ","Japan","Kenya","United States"
"2008 Beijing","Constantina Tomescu Romania","Catherine Ndereba Kenya","Zhou Chunxiu China","Marathon","women","2008","Beijing","Running","Constantina Tomescu ","Catherine Ndereba ","Zhou Chunxiu ","Romania","Kenya","China"
"2012 London","Tiki Gelana Ethiopia","Priscah Jeptoo Kenya","Tatyana Petrova Arkhipova Russia","Marathon","women","2012","London","Running","Tiki Gelana ","Priscah Jeptoo ","Tatyana Petrova Arkhipova ","Ethiopia","Kenya","Russia"
"2016 Rio de Janeiro","Jemima Sumgong Kenya","Eunice Kirwa Bahrain","Mare Dibaba Ethiopia","Marathon","women","2016","Rio de Janeiro","Running","Jemima Sumgong ","Eunice Kirwa Bahrain","Mare Dibaba ","Kenya",NA,"Ethiopia"
"1972 Munich","Annelie Ehrhardt East Germany","Valeria Bufanu Romania","Karin Balzer East Germany","100 metres hurdles","women","1972","Munich","Running","Annelie Ehrhardt ","Valeria Bufanu ","Karin Balzer ","East Germany","Romania","East Germany"
"1976 Montreal","Johanna Schaller-Klier East Germany","Tatyana Anisimova Soviet Union","Natalya Lebedeva Soviet Union","100 metres hurdles","women","1976","Montreal","Running","Johanna Schaller-Klier ","Tatyana Anisimova ","Natalya Lebedeva ","East Germany","Soviet Union","Soviet Union"
"1980 Moscow","Vera Komisova Soviet Union","Johanna Schaller-Klier East Germany","Lucyna Langer Poland","100 metres hurdles","women","1980","Moscow","Running","Vera Komisova ","Johanna Schaller-Klier ","Lucyna Langer ","Soviet Union","East Germany","Poland"
"1984 Los Angeles","Benita Fitzgerald United States","Shirley Strong Great Britain","Michèle Chardonnet France & Kim Turner United States","100 metres hurdles","women","1984","Los Angeles","Running","Benita Fitzgerald ","Shirley Strong ","Michèle Chardonnet  & Kim Turner ","United States","Great Britain","France"
"1988 Seoul","Yordanka Donkova Bulgaria","Gloria Siebert East Germany","Claudia Zackiewicz West Germany","100 metres hurdles","women","1988","Seoul","Running","Yordanka Donkova ","Gloria Siebert ","Claudia Zackiewicz ","Bulgaria","East Germany","West Germany"
"1992 Barcelona","Voula Patoulidou Greece","LaVonna Martin United States","Yordanka Donkova Bulgaria","100 metres hurdles","women","1992","Barcelona","Running","Voula Patoulidou ","LaVonna Martin ","Yordanka Donkova ","Greece","United States","Bulgaria"
"1996 Atlanta","Ludmila Engquist Sweden","Brigita Bukovec Slovenia","Patricia Girard France","100 metres hurdles","women","1996","Atlanta","Running","Ludmila Engquist ","Brigita Bukovec ","Patricia Girard ","Sweden","Slovenia","France"
"2000 Sydney","Olga Shishigina Kazakhstan","Glory Alozie Nigeria","Melissa Morrison United States","100 metres hurdles","women","2000","Sydney","Running","Olga Shishigina ","Glory Alozie ","Melissa Morrison ","Kazakhstan","Niger","United States"
"2004 Athens","Joanna Hayes United States","Olena Krasovska Ukraine","Melissa Morrison United States","100 metres hurdles","women","2004","Athens","Running","Joanna Hayes ","Olena Krasovska ","Melissa Morrison ","United States","Ukraine","United States"
"2008 Beijing","Dawn Harper United States","Sally Pearson Australia","Priscilla Lopes-Schliep Canada","100 metres hurdles","women","2008","Beijing","Running","Dawn Harper ","Sally Pearson ","Priscilla Lopes-Schliep ","United States","Australia","Canada"
"2012 London","Sally Pearson Australia","Dawn Harper United States","Kellie Wells United States","100 metres hurdles","women","2012","London","Running","Sally Pearson ","Dawn Harper ","Kellie Wells ","Australia","United States","United States"
"2016 Rio de Janeiro","Brianna Rollins United States","Nia Ali United States","Kristi Castlin United States","100 metres hurdles","women","2016","Rio de Janeiro","Running","Brianna Rollins ","Nia Ali ","Kristi Castlin ","United States","United States","United States"
"1984 Los Angeles","Nawal El Moutawakel Morocco","Judi Brown United States","Cristieana Cojocaru Romania","400 metres hurdles","women","1984","Los Angeles","Running","Nawal El Moutawakel ","Judi Brown ","Cristieana Cojocaru ","Morocco","United States","Romania"
