"games","gold","silver","bronze","event","gender"
"1932 Los Angelesdetails","Lillian Copeland United States","Ruth Osburn United States","Jadwiga Wajs Poland","Discus throw","women"
"1936 Berlindetails","Gisela Mauermayer Germany","Jadwiga Wajs Poland","Paula Mollenhauer Germany","Discus throw","women"
"1948 Londondetails","Micheline Ostermeyer France","Edera Gentile Italy","Jacqueline Mazéas France","Discus throw","women"
"1952 Helsinkidetails","Nina Romashkova Soviet Union","Yelisaveta Bagriantseva Soviet Union","Nina Dumbadze Soviet Union","Discus throw","women"
"1956 Melbournedetails","Olga Fikotová Czechoslovakia","Irina Beglyakova Soviet Union","Nina Romashkova Soviet Union","Discus throw","women"
"1960 Romedetails","Nina Romashkova Soviet Union","Tamara Press Soviet Union","Lia Manoliu Romania","Discus throw","women"
"1964 Tokyodetails","Tamara Press Soviet Union","Ingrid Lotz United Team of Germany","Lia Manoliu Romania","Discus throw","women"
"1968 Mexico Citydetails","Lia Manoliu Romania","Liesel Westermann West Germany","Jolán Kleiber-Kontsek Hungary","Discus throw","women"
"1972 Munichdetails","Faina Melnik Soviet Union","Argentina Menis Romania","Vasilka Stoeva Bulgaria","Discus throw","women"
"1976 Montrealdetails","Evelin Schlaak East Germany","Mariya Vergova Bulgaria","Gabriele Hinzmann East Germany","Discus throw","women"
"1980 Moscowdetails","Evelin Jahl East Germany","Mariya Petkova Bulgaria","Tatyana Lesovaya Soviet Union","Discus throw","women"
"1984 Los Angelesdetails","Ria Stalman Netherlands","Leslie Deniz United States","Floren<U+021B>a Craciunescu Romania","Discus throw","women"
"1988 Seouldetails","Martina Hellmann East Germany","Diana Gansky East Germany","Tsvetanka Khristova Bulgaria","Discus throw","women"
"1992 Barcelonadetails","Maritza Martén Cuba","Tsvetanka Khristova Bulgaria","Daniela Costian Australia","Discus throw","women"
"1996 Atlantadetails","Ilke Wyludda Germany","Natalya Sadova Russia","Ellina Zvereva Belarus","Discus throw","women"
"2000 Sydneydetails","Ellina Zvereva Belarus","Anastasia Kelesidou Greece","Iryna Yatchenko Belarus","Discus throw","women"
"2004 Athensdetails","Natalya Sadova Russia","Anastasia Kelesidou Greece","Vera Pospíšilová-Cechlová Czech Republic[10]","Discus throw","women"
"2008 Beijingdetails","Stephanie Brown Trafton United States","Yarelys Barrios Cuba","Olena Antonova Ukraine","Discus throw","women"
"2012 Londondetails","Sandra Perkovic Croatia","Li Yanfeng China","Yarelys Barrios Cuba","Discus throw","women"
"2016 Rio de Janeirodetails","Sandra Perkovic Croatia","Mélina Robert-Michon France","Denia Caballero Cuba","Discus throw","women"
"2000 Sydneydetails","Kamila Skolimowska Poland","Olga Kuzenkova Russia","Kirsten Münchow Germany","Hammer throw","women"
"2004 Athensdetails","Olga Kuzenkova Russia","Yipsi Moreno Cuba","Yunaika Crawford Cuba","Hammer throw","women"
"2008 Beijingdetails","Yipsi Moreno Cuba","Zhang Wenxiu China","Manuela Montebrun France","Hammer throw","women"
"2012 Londondetails","Anita Wlodarczyk Poland","Betty Heidler Germany","Zhang Wenxiu China","Hammer throw","women"
"2016 Rio de Janeirodetails","Anita Wlodarczyk Poland","Zhang Wenxiu China","Sophie Hitchon Great Britain","Hammer throw","women"
"1932 Los Angelesdetails","Babe Didrikson United States","Ellen Braumüller Germany","Tilly Fleischer Germany","Javelin throw","women"
"1936 Berlindetails","Tilly Fleischer Germany","Luise Krüger Germany","Maria Kwasniewska Poland","Javelin throw","women"
"1948 Londondetails","Herma Bauma Austria","Kaisa Parviainen Finland","Lily Carlstedt Denmark","Javelin throw","women"
"1952 Helsinkidetails","Dana Zátopková Czechoslovakia","Aleksandra Chudina Soviet Union","Yelena Gorchakova Soviet Union","Javelin throw","women"
"1956 Melbournedetails","Inese Jaunzeme Soviet Union","Marlene Ahrens Chile","Nadezhda Konyayeva Soviet Union","Javelin throw","women"
"1960 Romedetails","Elvira Ozolina Soviet Union","Dana Zátopková Czechoslovakia","Birute Kalediene Soviet Union","Javelin throw","women"
"1964 Tokyodetails","Mihaela Pene<U+0219> Romania","Márta Rudas Hungary","Yelena Gorchakova Soviet Union","Javelin throw","women"
"1968 Mexico Citydetails","Angéla Németh Hungary","Mihaela Pene<U+0219> Romania","Eva Janko Austria","Javelin throw","women"
"1972 Munichdetails","Ruth Fuchs East Germany","Jacqueline Todten East Germany","Kate Schmidt United States","Javelin throw","women"
"1976 Montrealdetails","Ruth Fuchs East Germany","Marion Becker West Germany","Kate Schmidt United States","Javelin throw","women"
"1980 Moscowdetails","María Caridad Colón Cuba","Saida Gunba Soviet Union","Ute Hommola East Germany","Javelin throw","women"
"1984 Los Angelesdetails","Tessa Sanderson Great Britain","Tiina Lillak Finland","Fatima Whitbread Great Britain","Javelin throw","women"
"1988 Seouldetails","Petra Felke East Germany","Fatima Whitbread Great Britain","Beate Koch East Germany","Javelin throw","women"
"1992 Barcelonadetails","Silke Renk Germany","Natalya Shikolenko Unified Team","Karen Forkel Germany","Javelin throw","women"
"1996 Atlantadetails","Heli Rantanen Finland","Louise McPaul Australia","Trine Hattestad Norway","Javelin throw","women"
"2000 Sydneydetails","Trine Hattestad Norway","Mirela Maniani-Tzelili Greece","Osleidys Menéndez Cuba","Javelin throw","women"
"2004 Athensdetails","Osleidys Menéndez Cuba","Steffi Nerius Germany","Mirela Maniani Greece","Javelin throw","women"
"2008 Beijingdetails","Barbora Špotáková Czech Republic","Mariya Abakumova Russia","Christina Obergföll Germany","Javelin throw","women"
"2012 Londondetails","Barbora Špotáková Czech Republic","Christina Obergföll Germany","Linda Stahl Germany","Javelin throw","women"
"2016 Rio de Janeirodetails","Sara Kolak Croatia","Sunette Viljoen South Africa","Barbora Špotáková Czech Republic","Javelin throw","women"
"1984 Los Angelesdetails","Glynis Nunn Australia","Jackie Joyner United States","Sabine Everts West Germany","Heptathlon","women"
"1988 Seouldetails","Jackie Joyner-Kersee United States","Sabine John East Germany","Anke Behmer East Germany","Heptathlon","women"
"1992 Barcelonadetails","Jackie Joyner-Kersee United States","Irina Belova Unified Team","Sabine Braun Germany","Heptathlon","women"
"1996 Atlantadetails","Ghada Shouaa Syria","Natallia Sazanovich Belarus","Denise Lewis Great Britain","Heptathlon","women"
"2000 Sydneydetails","Denise Lewis Great Britain","Yelena Prokhorova Russia","Natallia Sazanovich Belarus","Heptathlon","women"
"2004 Athensdetails","Carolina Klüft Sweden","Austra Skujyte Lithuania","Kelly Sotherton Great Britain","Heptathlon","women"
"2008 Beijingdetails","Nataliya Dobrynska Ukraine","Hyleas Fountain United States","Kelly Sotherton Great Britain","Heptathlon","women"
"2012 Londondetails","Jessica Ennis Great Britain","Lilli Schwarzkopf Germany","Austra Skujyte Lithuania","Heptathlon","women"
"2016 Riodetails","Nafissatou Thiam Belgium","Jessica Ennis-Hill Great Britain","Brianne Theisen-Eaton Canada","Heptathlon","women"
"1984 Los Angelesdetails","Maricica Puica Romania","Wendy Smith-Sly Great Britain","Lynn Williams Canada","3000 metres","women"
"1988 Seouldetails","Tetyana Samolenko Soviet Union","Paula Ivan Romania","Yvonne Murray Great Britain","3000 metres","women"
"1992 Barcelonadetails","Yelena Romanova Unified Team","Tetyana Dorovskikh Unified Team","Angela Chalmers Canada","3000 metres","women"
"1932 Los Angelesdetails","Babe Didrikson United States","Evelyne Hall United States","Marjorie Clark South Africa","80 metres hurdles","women"
"1936 Berlindetails","Ondina Valla Italy","Anni Steuer Germany","Elizabeth Taylor Canada","80 metres hurdles","women"
"1948 Londondetails","Fanny Blankers-Koen Netherlands","Maureen Gardner Great Britain","Shirley Strickland Australia","80 metres hurdles","women"
"1952 Helsinkidetails","Shirley Strickland de la Hunty Australia","Maria Golubnichaya Soviet Union","Maria Sander Germany","80 metres hurdles","women"
"1956 Melbournedetails","Shirley Strickland de la Hunty Australia","Gisela Köhler United Team of Germany","Norma Thrower Australia","80 metres hurdles","women"
"1960 Romedetails","Irina Press Soviet Union","Carole Quinton Great Britain","Gisela Birkemeyer United Team of Germany","80 metres hurdles","women"
"1964 Tokyodetails","Karin Balzer United Team of Germany","Teresa Cieply Poland","Pam Kilborn Australia","80 metres hurdles","women"
"1968 Mexico Citydetails","Maureen Caird Australia","Pam Kilborn Australia","Chi Cheng Republic of China","80 metres hurdles","women"
"1964 Tokyodetails","Irina Press Soviet Union","Mary Rand Great Britain","Galina Bystrova Soviet Union","Pentathlon","women"
"1968 Mexico Citydetails","Ingrid Becker West Germany","Liese Prokop Austria","Annamária Tóth Hungary","Pentathlon","women"
"1972 Munichdetails","Mary Peters Great Britain","Heide Rosendahl West Germany","Burglinde Pollak East Germany","Pentathlon","women"
"1976 Montrealdetails","Siegrun Siegl East Germany","Christine Laser East Germany","Burglinde Pollak East Germany","Pentathlon","women"
"1980 Moscowdetails","Nadiya Tkachenko Soviet Union","Olga Rukavishnikova Soviet Union","Olga Kuragina Soviet Union","Pentathlon","women"
"1992 Barcelonadetails","Chen Yueling China","Yelena Nikolayeva Unified Team","Li Chunxiu China","10 kilometers race walk","women"
"1996 Atlantadetails","Yelena Nikolayeva Russia","Elisabetta Perrone Italy","Wang Yan China","10 kilometers race walk","women"
