"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1968,16,362,18,0.0125,"3000 metres steeplechase","Running","1968 Mexico City","Amos Biwott Kenya","Benjamin Kogo Kenya","George Young United States","men","Mexico City","Amos Biwott ","Benjamin Kogo ","George Young ","Kenya","Kenya","United States"
1972,17,1,18,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"1500 metres","Running","1980 Moscow","Tatyana Kazankina Soviet Union","Christiane Wartenberg East Germany","Nadiya Olizarenko Soviet Union","women","Moscow","Tatyana Kazankina ","Christiane Wartenberg ","Nadiya Olizarenko ","Soviet Union","East Germany","Soviet Union"
1980,19,1,20,0.0125,"1500 metres","Running","1980 Moscow","Sebastian Coe Great Britain","Jürgen Straub East Germany","Steve Ovett Great Britain","men","Moscow","Sebastian Coe ","Jürgen Straub ","Steve Ovett ","Great Britain","East Germany","Great Britain"
1980,19,362,21,0.0125,"800 metres","Running","1980 Moscow","Nadiya Olizarenko Soviet Union","Olga Mineyeva Soviet Union","Tatyana Providokhina Soviet Union","women","Moscow","Nadiya Olizarenko ","Olga Mineyeva ","Tatyana Providokhina ","Soviet Union","Soviet Union","Soviet Union"
1980,19,362,21,0.0125,"800 metres","Running","1980 Moscow","Steve Ovett Great Britain","Sebastian Coe Great Britain","Nikolay Kirov Soviet Union","men","Moscow","Steve Ovett ","Sebastian Coe ","Nikolay Kirov ","Great Britain","Great Britain","Soviet Union"
1984,20,1,21,0.0125,"400 metres hurdles","Running","1984 Los Angeles","Nawal El Moutawakel Morocco","Judi Brown United States","Cristieana Cojocaru Romania","women","Los Angeles","Nawal El Moutawakel ","Judi Brown ","Cristieana Cojocaru ","Morocco","United States","Romania"
1984,20,1,21,0.0125,"400 metres hurdles","Running","1984 Los Angeles","Edwin Moses United States","Danny Harris United States","Harald Schmid West Germany","men","Los Angeles","Edwin Moses ","Danny Harris ","Harald Schmid ","United States","United States","West Germany"
1984,20,362,22,0.0125,"400 metres","Running","1984 Los Angeles","Valerie Brisco-Hooks United States","Chandra Cheeseborough United States","Kathy Smallwood-Cook Great Britain","women","Los Angeles","Valerie Brisco-Hooks ","Chandra Cheeseborough ","Kathy Smallwood-Cook ","United States","United States","Great Britain"
1984,20,362,22,0.0125,"400 metres","Running","1984 Los Angeles","Alonzo Babers United States","Gabriel Tiacoh Ivory Coast","Antonio McKay United States","men","Los Angeles","Alonzo Babers ","Gabriel Tiacoh Ivory Coast","Antonio McKay ","United States",NA,"United States"
1988,21,1,22,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"200 metres","Running","1988 Seoul","Florence Griffith-Joyner United States","Grace Jackson Jamaica","Heike Drechsler East Germany","women","Seoul","Florence Griffith-Joyner ","Grace Jackson ","Heike Drechsler ","United States","Jamaica","East Germany"
1988,21,362,23,0.0125,"200 metres","Running","1988 Seoul","Joe DeLoach United States","Carl Lewis United States","Robson da Silva Brazil","men","Seoul","Joe DeLoach ","Carl Lewis ","Robson da Silva ","United States","United States","Brazil"
1992,22,1,23,0.0125,"110 metres hurdles","Running","1992 Barcelona","Mark McKoy Canada","Tony Dees United States","Jack Pierce United States","men","Barcelona","Mark McKoy ","Tony Dees ","Jack Pierce ","Canada","United States","United States"
1992,22,362,24,0.0125,"100 metres hurdles","Running","1992 Barcelona","Voula Patoulidou Greece","LaVonna Martin United States","Yordanka Donkova Bulgaria","women","Barcelona","Voula Patoulidou ","LaVonna Martin ","Yordanka Donkova ","Greece","United States","Bulgaria"
1996,23,1,24,0.0125,"100 metres","Running","1996 Atlanta","Gail Devers United States","Merlene Ottey Jamaica","Gwen Torrence United States","women","Atlanta","Gail Devers ","Merlene Ottey ","Gwen Torrence ","United States","Jamaica","United States"
1996,23,1,24,0.0125,"100 metres","Running","1996 Atlanta","Donovan Bailey Canada","Frankie Fredericks Namibia","Ato Boldon Trinidad and Tobago","men","Atlanta","Donovan Bailey ","Frankie Fredericks ","Ato Boldon ","Canada","Namibia","Trinidad and Tobago"
1996,23,362,25,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
