"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1960,14,362,16,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"Discus throw","Throwing","1964 Tokyo","Tamara Press Soviet Union","Ingrid Lotz United Team of Germany","Lia Manoliu Romania","women","Tokyo","Tamara Press ","Ingrid Lotz ","Lia Manoliu ","Soviet Union","United Team of Germany","Romania"
1964,15,1,16,0.0125,"Discus throw","Throwing","1964 Tokyo","Al Oerter United States","Ludvík Danek Czechoslovakia","Dave Weill United States","men","Tokyo","Al Oerter ","Ludvík Danek ","Dave Weill ","United States","Czechoslovakia","United States"
1964,15,362,17,0.0125,"Decathlon","Multisport","1964 Tokyo","Willi Holdorf United Team of Germany","Rein Aun Soviet Union","Hans-Joachim Walde United Team of Germany","men","Tokyo","Willi Holdorf ","Rein Aun ","Hans-Joachim Walde ","United Team of Germany","Soviet Union","United Team of Germany"
1968,16,1,17,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"5000 metres","Running","1972 Munich","Lasse Virén Finland","Mohammed Gammoudi Tunisia","Ian Stewart Great Britain","men","Munich","Lasse Virén ","Mohammed Gammoudi ","Ian Stewart ","Finland","Tunisia","Great Britain"
1976,18,1,19,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"3000 metres steeplechase","Running","1984 Los Angeles","Julius Korir Kenya","Joseph Mahmoud France","Brian Diemer United States","men","Los Angeles","Julius Korir ","Joseph Mahmoud ","Brian Diemer ","Kenya","France","United States"
1988,21,1,22,0.0125,"3000 metres","Running","1988 Seoul","Tetyana Samolenko Soviet Union","Paula Ivan Romania","Yvonne Murray Great Britain","women","Seoul","Tetyana Samolenko ","Paula Ivan ","Yvonne Murray ","Soviet Union","Romania","Great Britain"
1988,21,362,23,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,362,24,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"1500 metres","Running","1996 Atlanta","Svetlana Masterkova Russia","Gabriela Szabo Romania","Theresia Kiesl Austria","women","Atlanta","Svetlana Masterkova ","Gabriela Szabo ","Theresia Kiesl ","Russia","Romania","Austria"
1996,23,1,24,0.0125,"1500 metres","Running","1996 Atlanta","Noureddine Morceli Algeria","Fermín Cacho Spain","Stephen Kipkorir Kenya","men","Atlanta","Noureddine Morceli ","Fermín Cacho ","Stephen Kipkorir ","Algeria","Spain","Kenya"
1996,23,362,25,0.0125,"800 metres","Running","1996 Atlanta","Svetlana Masterkova Russia","Ana Fidelia Quirot Cuba","Maria Mutola Mozambique","women","Atlanta","Svetlana Masterkova ","Ana Fidelia Quirot ","Maria Mutola ","Russia","Cuba","Mozambique"
1996,23,362,25,0.0125,"800 metres","Running","1996 Atlanta","Vebjørn Rodal Norway","Hezekiél Sepeng South Africa","Frederick Onyancha Kenya","men","Atlanta","Vebjørn Rodal ","Hezekiél Sepeng ","Frederick Onyancha ","Norway","South Africa","Kenya"
2000,24,1,25,0.0125,"400 metres hurdles","Running","2000 Sydney","Irina Privalova Russia","Deon Hemmings Jamaica","Nezha Bidouane Morocco","women","Sydney","Irina Privalova ","Deon Hemmings ","Nezha Bidouane ","Russia","Jamaica","Morocco"
2000,24,1,25,0.0125,"400 metres hurdles","Running","2000 Sydney","Angelo Taylor United States","Hadi Al-Somaily Saudi Arabia","Llewellyn Herbert South Africa","men","Sydney","Angelo Taylor ","Hadi Al-Somaily ","Llewellyn Herbert ","United States","Saudi Arabia","South Africa"
2000,24,362,26,0.0125,"400 metres","Running","2000 Sydney","Cathy Freeman Australia","Lorraine Graham Jamaica","Katharine Merry Great Britain","women","Sydney","Cathy Freeman ","Lorraine Graham ","Katharine Merry ","Australia","Jamaica","Great Britain"
2000,24,362,26,0.0125,"400 metres","Running","2000 Sydney","Michael Johnson United States","Alvin Harrison United States","Greg Haughton Jamaica","men","Sydney","Michael Johnson ","Alvin Harrison ","Greg Haughton ","United States","United States","Jamaica"
2004,25,1,26,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,362,27,0.0125,"200 metres","Running","2004 Athens","Veronica Campbell Jamaica","Allyson Felix United States","Debbie Ferguson Bahamas","women","Athens","Veronica Campbell ","Allyson Felix ","Debbie Ferguson Bahamas","Jamaica","United States",NA
2004,25,362,27,0.0125,"200 metres","Running","2004 Athens","Shawn Crawford United States","Bernard Williams United States","Justin Gatlin United States","men","Athens","Shawn Crawford ","Bernard Williams ","Justin Gatlin ","United States","United States","United States"
2008,26,1,27,0.0125,"110 metres hurdles","Running","2008 Beijing","Dayron Robles Cuba","David Payne United States","David Oliver United States","men","Beijing","Dayron Robles ","David Payne ","David Oliver ","Cuba","United States","United States"
2008,26,362,28,0.0125,"100 metres hurdles","Running","2008 Beijing","Dawn Harper United States","Sally Pearson Australia","Priscilla Lopes-Schliep Canada","women","Beijing","Dawn Harper ","Sally Pearson ","Priscilla Lopes-Schliep ","United States","Australia","Canada"
2012,27,1,28,0.0125,"100 metres","Running","2012 London","Shelly-Ann Fraser-Pryce Jamaica","Carmelita Jeter United States","Veronica Campbell-Brown Jamaica","women","London","Shelly-Ann Fraser-Pryce ","Carmelita Jeter ","Veronica Campbell-Brown ","Jamaica","United States","Jamaica"
2012,27,1,28,0.0125,"100 metres","Running","2012 London","Usain Bolt Jamaica","Yohan Blake Jamaica","Justin Gatlin United States","men","London","Usain Bolt ","Yohan Blake ","Justin Gatlin ","Jamaica","Jamaica","United States"
2012,27,362,29,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,1,29,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"50 kilometres race walk","Walking","2016 Rio de Janeiro","Matej Tóth Slovakia","Jared Tallent Australia","Hirooki Arai Japan","men","Rio de Janeiro","Matej Tóth ","Jared Tallent ","Hirooki Arai ","Slovakia","Australia","Japan"
1896,1,1,2,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"10,000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"4 × 400 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"4 × 100 metres relay","Running","1912 Stockholm","Great Britain (GBR)David JacobsHenry MacintoshVictor d'ArcyWillie Applegarth","Sweden (SWE)Ivan MöllerCharles LutherTure PersonKnut Lindberg","none awarded","men","Stockholm"," (GBR)David JacobsHenry MacintoshVictor d'ArcyWillie Applegarth"," (SWE)Ivan MöllerCharles LutherTure PersonKnut Lindberg","none awarded","Great Britain","Sweden",NA
1912,5,362,7,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"Weight throw","Throwing","1920 Antwerp","Pat McDonald United States","Patrick Ryan United States","Carl Johan Lind Sweden","men","Antwerp","Pat McDonald ","Patrick Ryan ","Carl Johan Lind ","United States","United States","Sweden"
1920,6,362,8,0.0125,"Triple jump","Jumping","1920 Antwerp","Vilho Tuulos Finland","Folke Jansson Sweden","Erik Almlöf Sweden","men","Antwerp","Vilho Tuulos ","Folke Jansson ","Erik Almlöf ","Finland","Sweden","Sweden"
1924,7,1,8,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,1,9,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"Shot put","Throwing","1932 Los Angeles","Leo Sexton United States","Harlow Rothert United States","František Douda Czechoslovakia","men","Los Angeles","Leo Sexton ","Harlow Rothert ","František Douda ","United States","United States","Czechoslovakia"
1936,10,1,11,0.0125,"Pole vault","Jumping","1936 Berlin","Earle Meadows United States","Shuhei Nishida Japan","Sueo Oe Japan","men","Berlin","Earle Meadows ","Shuhei Nishida ","Sueo Oe ","United States","Japan","Japan"
1936,10,362,12,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"Marathon","Running","1948 London","Delfo Cabrera Argentina","Tom Richards Great Britain","Étienne Gailly Belgium","men","London","Delfo Cabrera ","Tom Richards ","Étienne Gailly ","Argentina","Great Britain","Belgium"
1948,11,362,13,0.0125,"Long jump","Jumping","1948 London","Olga Gyarmati Hungary","Noemí Simonetto Argentina","Ann-Britt Leyman Sweden","women","London","Olga Gyarmati ","Noemí Simonetto ","Ann-Britt Leyman ","Hungary","Argentina","Sweden"
1948,11,362,13,0.0125,"Long jump","Jumping","1948 London","Willie Steele United States","Bill Bruce Australia","Herb Douglas United States","men","London","Willie Steele ","Bill Bruce ","Herb Douglas ","United States","Australia","United States"
1952,12,1,13,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,1,14,0.0125,"Javelin throw","Throwing","1956 Melbourne","Inese Jaunzeme Soviet Union","Marlene Ahrens Chile","Nadezhda Konyayeva Soviet Union","women","Melbourne","Inese Jaunzeme ","Marlene Ahrens ","Nadezhda Konyayeva ","Soviet Union","Chile","Soviet Union"
1956,13,1,14,0.0125,"Javelin throw","Throwing","1956 Melbourne","Egil Danielsen Norway","Janusz Sidlo Poland","Viktor Tsybulenko Soviet Union","men","Melbourne","Egil Danielsen ","Janusz Sidlo ","Viktor Tsybulenko ","Norway","Poland","Soviet Union"
1956,13,362,15,0.0125,"High jump","Jumping","1956 Melbourne","Mildred McDaniel United States","Thelma Hopkins Great Britain & Mariya Pisareva Soviet Union","none awarded","women","Melbourne","Mildred McDaniel ","Thelma Hopkins  & Mariya Pisareva ","none awarded","United States","Great Britain",NA
1956,13,362,15,0.0125,"High jump","Jumping","1956 Melbourne","Charles Dumas United States","Chilla Porter Australia","Igor Kashkarov Soviet Union","men","Melbourne","Charles Dumas ","Chilla Porter ","Igor Kashkarov ","United States","Australia","Soviet Union"
1960,14,1,15,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"Hammer throw","Throwing","1960 Rome","Vasily Rudenkov Soviet Union","Gyula Zsivótzky Hungary","Tadeusz Rut Poland","men","Rome","Vasily Rudenkov ","Gyula Zsivótzky ","Tadeusz Rut ","Soviet Union","Hungary","Poland"
1964,15,1,16,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,1,17,0.0125,"Discus throw","Throwing","1968 Mexico City","Lia Manoliu Romania","Liesel Westermann West Germany","Jolán Kleiber-Kontsek Hungary","women","Mexico City","Lia Manoliu ","Liesel Westermann ","Jolán Kleiber-Kontsek ","Romania","West Germany","Hungary"
1968,16,1,17,0.0125,"Discus throw","Throwing","1968 Mexico City","Al Oerter United States","Lothar Milde East Germany","Ludvík Danek Czechoslovakia","men","Mexico City","Al Oerter ","Lothar Milde ","Ludvík Danek ","United States","East Germany","Czechoslovakia"
1968,16,362,18,0.0125,"Decathlon","Multisport","1968 Mexico City","Bill Toomey United States","Hans-Joachim Walde West Germany","Kurt Bendlin West Germany","men","Mexico City","Bill Toomey ","Hans-Joachim Walde ","Kurt Bendlin ","United States","West Germany","West Germany"
1972,17,1,18,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"5000 metres","Running","1976 Montreal","Lasse Virén Finland","Dick Quax New Zealand","Klaus-Peter Hildenbrand West Germany","men","Montreal","Lasse Virén ","Dick Quax ","Klaus-Peter Hildenbrand ","Finland","New Zealand","West Germany"
1980,19,1,20,0.0125,"4000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"3000 metres steeplechase","Running","1988 Seoul","Julius Kariuki Kenya","Peter Koech Kenya","Mark Rowland Great Britain","men","Seoul","Julius Kariuki ","Peter Koech ","Mark Rowland ","Kenya","Kenya","Great Britain"
1992,22,1,23,0.0125,"3000 metres","Running","1992 Barcelona","Yelena Romanova Unified Team","Tetyana Dorovskikh Unified Team","Angela Chalmers Canada","women","Barcelona","Yelena Romanova ","Tetyana Dorovskikh ","Angela Chalmers ","Unified Team","Unified Team","Canada"
1992,22,362,24,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,1,25,0.0125,"1500 metres","Running","2000 Sydney","Nouria Mérah-Benida Algeria","Violeta Szekely Romania","Gabriela Szabo Romania","women","Sydney","Nouria Mérah-Benida ","Violeta Szekely ","Gabriela Szabo ","Algeria","Romania","Romania"
2000,24,1,25,0.0125,"1500 metres","Running","2000 Sydney","Noah Ngeny Kenya","Hicham El Guerrouj Morocco","Bernard Lagat Kenya","men","Sydney","Noah Ngeny ","Hicham El Guerrouj ","Bernard Lagat ","Kenya","Morocco","Kenya"
2000,24,362,26,0.0125,"800 metres","Running","2000 Sydney","Maria Mutola Mozambique","Stephanie Graf Austria","Kelly Holmes Great Britain","women","Sydney","Maria Mutola ","Stephanie Graf ","Kelly Holmes ","Mozambique","Austria","Great Britain"
2000,24,362,26,0.0125,"800 metres","Running","2000 Sydney","Nils Schumann Germany","Wilson Kipketer Denmark","Djabir Saïd-Guerni Algeria","men","Sydney","Nils Schumann ","Wilson Kipketer ","Djabir Saïd-Guerni ","Germany","Denmark","Algeria"
2004,25,1,26,0.0125,"400 metres hurdles","Running","2004 Athens","Fani Halkia Greece","Ionela Târlea-Manolache Romania","Tetyana Tereshchuk-Antipova Ukraine","women","Athens","Fani Halkia ","Ionela Târlea-Manolache ","Tetyana Tereshchuk-Antipova ","Greece","Romania","Ukraine"
2004,25,1,26,0.0125,"400 metres hurdles","Running","2004 Athens","Félix Sánchez Dominican Republic","Danny McFarlane Jamaica","Naman Keïta France","men","Athens","Félix Sánchez ","Danny McFarlane ","Naman Keïta ","Dominican Republic","Jamaica","France"
2004,25,362,27,0.0125,"400 metres","Running","2004 Athens","Tonique Williams-Darling Bahamas","Ana Guevara Mexico","Natalya Antyukh Russia","women","Athens","Tonique Williams-Darling Bahamas","Ana Guevara ","Natalya Antyukh ",NA,"Mexico","Russia"
2004,25,362,27,0.0125,"400 metres","Running","2004 Athens","Jeremy Wariner United States","Otis Harris United States","Derrick Brew United States","men","Athens","Jeremy Wariner ","Otis Harris ","Derrick Brew ","United States","United States","United States"
2008,26,1,27,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"200 metres","Running","2008 Beijing","Veronica Campbell-Brown Jamaica","Allyson Felix United States","Kerron Stewart Jamaica","women","Beijing","Veronica Campbell-Brown ","Allyson Felix ","Kerron Stewart ","Jamaica","United States","Jamaica"
2008,26,362,28,0.0125,"200 metres","Running","2008 Beijing","Usain Bolt Jamaica","Shawn Crawford United States","Walter Dix United States","men","Beijing","Usain Bolt ","Shawn Crawford ","Walter Dix ","Jamaica","United States","United States"
2012,27,1,28,0.0125,"110 metres hurdles","Running","2012 London","Aries Merritt United States","Jason Richardson United States","Hansle Parchment Jamaica","men","London","Aries Merritt ","Jason Richardson ","Hansle Parchment ","United States","United States","Jamaica"
2012,27,362,29,0.0125,"100 metres hurdles","Running","2012 London","Sally Pearson Australia","Dawn Harper United States","Kellie Wells United States","women","London","Sally Pearson ","Dawn Harper ","Kellie Wells ","Australia","United States","United States"
2016,28,1,29,0.0125,"100 metres","Running","2016 Rio de Janeiro","Elaine Thompson Jamaica","Tori Bowie United States","Shelly-Ann Fraser-Pryce Jamaica","women","Rio de Janeiro","Elaine Thompson ","Tori Bowie ","Shelly-Ann Fraser-Pryce ","Jamaica","United States","Jamaica"
2016,28,1,29,0.0125,"100 metres","Running","2016 Rio","Usain Bolt Jamaica","Justin Gatlin United States","Andre De Grasse Canada","men","Rio","Usain Bolt ","Justin Gatlin ","Andre De Grasse ","Jamaica","United States","Canada"
2016,28,362,30,0.0125,"80 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"50 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,362,4,0.0125,"10,000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"5 miles","Running","1908 London","Emil Voigt Great Britain","Edward Owen Great Britain","John Svanberg Sweden","men","London","Emil Voigt ","Edward Owen ","John Svanberg ","Great Britain","Great Britain","Sweden"
1912,5,1,6,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"4 × 400 metres relay","Running","1912 Stockholm","United States (USA)Mel SheppardEdward LindbergTed MeredithCharles Reidpath","France (FRA)Charles LelongRobert SchurrerPierre FailliotCharles Poulenard","Great Britain (GBR)George NicolErnest HenleyJames SoutterCyril Seedhouse","men","Stockholm"," (USA)Mel SheppardEdward LindbergTed MeredithCharles Reidpath"," (FRA)Charles LelongRobert SchurrerPierre FailliotCharles Poulenard"," (GBR)George NicolErnest HenleyJames SoutterCyril Seedhouse","United States","France","Great Britain"
1920,6,1,7,0.0125,"4 × 100 metres relay","Running","1920 Antwerp","United States (USA)Charley PaddockJackson ScholzLoren MurchisonMorris Kirksey","France (FRA)René LorainRené TirardRené MourlonÉmile Ali-Khan","Sweden (SWE)Agne HolmströmWilliam PeterssonSven MalmNils Sandström","men","Antwerp"," (USA)Charley PaddockJackson ScholzLoren MurchisonMorris Kirksey"," (FRA)René LorainRené TirardRené MourlonÉmile Ali-Khan"," (SWE)Agne HolmströmWilliam PeterssonSven MalmNils Sandström","United States","France","Sweden"
1920,6,362,8,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,1,8,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,362,9,0.0125,"Triple jump","Jumping","1924 Paris","Nick Winter Australia","Luis Brunetto Argentina","Vilho Tuulos Finland","men","Paris","Nick Winter ","Luis Brunetto ","Vilho Tuulos ","Australia","Argentina","Finland"
1928,8,1,9,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,8,362,10,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,1,10,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,362,12,0.0125,"Shot put","Throwing","1936 Berlin","Hans Woellke Germany","Sulo Bärlund Finland","Gerhard Stöck Germany","men","Berlin","Hans Woellke ","Sulo Bärlund ","Gerhard Stöck ","Germany","Finland","Germany"
1948,11,1,12,0.0125,"Pole vault","Jumping","1948 London","Guinn Smith United States","Erkki Kataja Finland","Bob Richards United States","men","London","Guinn Smith ","Erkki Kataja ","Bob Richards ","United States","Finland","United States"
1948,11,362,13,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,1,13,0.0125,"Marathon","Running","1952 Helsinki","Emil Zátopek Czechoslovakia","Reinaldo Gorno Argentina","Gustaf Jansson Sweden","men","Helsinki","Emil Zátopek ","Reinaldo Gorno ","Gustaf Jansson ","Czechoslovakia","Argentina","Sweden"
1952,12,362,14,0.0125,"Long jump","Jumping","1952 Helsinki","Yvette Williams New Zealand","Aleksandra Chudina Soviet Union","Shirley Cawley Great Britain","women","Helsinki","Yvette Williams ","Aleksandra Chudina ","Shirley Cawley ","New Zealand","Soviet Union","Great Britain"
1952,12,362,14,0.0125,"Long jump","Jumping","1952 Helsinki","Jerome Biffle United States","Meredith Gourdine United States","Ödön Földessy Hungary","men","Helsinki","Jerome Biffle ","Meredith Gourdine ","Ödön Földessy ","United States","United States","Hungary"
1956,13,1,14,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"Javelin throw","Throwing","1960 Rome","Elvira Ozolina Soviet Union","Dana Zátopková Czechoslovakia","Birute Kalediene Soviet Union","women","Rome","Elvira Ozolina ","Dana Zátopková ","Birute Kalediene ","Soviet Union","Czechoslovakia","Soviet Union"
1960,14,1,15,0.0125,"Javelin throw","Throwing","1960 Rome","Viktor Tsybulenko Soviet Union","Walter Krüger United Team of Germany","Gergely Kulcsár Hungary","men","Rome","Viktor Tsybulenko ","Walter Krüger ","Gergely Kulcsár ","Soviet Union","United Team of Germany","Hungary"
1960,14,362,16,0.0125,"High jump","Jumping","1960 Rome","Iolanda Bala<U+0219> Romania","Jaroslawa Józwiakowska Poland & Dorothy Shirley Great Britain","none awarded","women","Rome","Iolanda Bala<U+0219> ","Jaroslawa Józwiakowska  & Dorothy Shirley ","none awarded","Romania","Poland",NA
1960,14,362,16,0.0125,"High jump","Jumping","1960 Rome","Robert Shavlakadze Soviet Union","Valeriy Brumel Soviet Union","John Thomas United States","men","Rome","Robert Shavlakadze ","Valeriy Brumel ","John Thomas ","Soviet Union","Soviet Union","United States"
1964,15,1,16,0.0125,"Heptathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"Hammer throw","Throwing","1964 Tokyo","Romuald Klim Soviet Union","Gyula Zsivótzky Hungary","Uwe Beyer United Team of Germany","men","Tokyo","Romuald Klim ","Gyula Zsivótzky ","Uwe Beyer ","Soviet Union","Hungary","United Team of Germany"
1968,16,1,17,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"Discus throw","Throwing","1972 Munich","Faina Melnik Soviet Union","Argentina Menis Romania","Vasilka Stoeva Bulgaria","women","Munich","Faina Melnik "," Menis ","Vasilka Stoeva ","Soviet Union","Argentina","Bulgaria"
1972,17,1,18,0.0125,"Discus throw","Throwing","1972 Munich","Ludvík Danek Czechoslovakia","Jay Silvester United States","Ricky Bruch Sweden","men","Munich","Ludvík Danek ","Jay Silvester ","Ricky Bruch ","Czechoslovakia","United States","Sweden"
1972,17,362,19,0.0125,"Decathlon","Multisport","1972 Munich","Mykola Avilov Soviet Union","Leonid Lytvynenko Soviet Union","Ryszard Katus Poland","men","Munich","Mykola Avilov ","Leonid Lytvynenko ","Ryszard Katus ","Soviet Union","Soviet Union","Poland"
1976,18,1,19,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
