"games","gold","silver","bronze","event","gender"
"1952 Helsinkidetails","United States (USA)Dean SmithHarrison DillardLindy RemiginoAndy Stanfield","Soviet Union (URS)Boris TokarevLevan KalyayevLevan SanadzeVladimir Sukharev","Hungary (HUN)László ZarándiGéza VarasdiGyörgy CsányiBéla Goldoványi","4 × 100 metres relay","men"
"1956 Melbournedetails","United States (USA)Ira MurchisonLeamon KingThane BakerBobby Morrow","Soviet Union (URS)Leonid BartenevBoris TokarevYuriy KonovalovVladimir Sukharev","United Team of Germany (EUA)Lothar KnörzerLeonhard PohlHeinz FüttererManfred Germar","4 × 100 metres relay","men"
"1960 Romedetails","United Team of Germany (EUA)Bernd CullmannArmin HaryWalter MahlendorfMartin Lauer","Soviet Union (URS)Gusman KosanovLeonid BartenevYuriy KonovalovEdvin Ozolin","Great Britain (GBR)Peter RadfordDavid JonesDavid SegalNick Whitehead","4 × 100 metres relay","men"
"1964 Tokyodetails","United States (USA)Paul DraytonGerry AshworthRichard StebbinsBob Hayes","Poland (POL)Andrzej ZielinskiWieslaw ManiakMarian FoikMarian Dudziak","France (FRA)Paul GenevayBernard LaidebeurClaude PiquemalJocelyn Delecour","4 × 100 metres relay","men"
"1968 Mexico Citydetails","United States (USA)Charles GreeneMel PenderRonnie Ray SmithJim Hines","Cuba (CUB)Hermes RamírezJuan MoralesPablo MontesEnrique Figuerola","France (FRA)Gérard FenouilJocelyn DelecourClaude PiquemalRoger Bambuck","4 × 100 metres relay","men"
"1972 Munichdetails","United States (USA)Larry BlackRobert TaylorGerald TinkerEddie Hart","Soviet Union (URS)Aleksandr KornelyukVladimir LovetskiyJuris SilovsValeriy Borzov","West Germany (FRG)Jobst HirschtKarlheinz KlotzGerhard WuchererKlaus Ehl","4 × 100 metres relay","men"
"1976 Montrealdetails","United States (USA)Harvey GlanceLam JonesMillard HamptonSteve Riddick","East Germany (GDR)Manfred KokotJörg PfeiferKlaus-Dieter KurratAlexander Thieme","Soviet Union (URS)Aleksandr AksininNikolay KolesnikovJuris SilovsValeriy Borzov","4 × 100 metres relay","men"
"1980 Moscowdetails","Soviet Union (URS)Vladimir MuravyovNikolay SidorovAleksandr AksininAndrey Prokofyev","Poland (POL)Krzysztof ZwolinskiZenon LicznerskiLeszek DuneckiMarian Woronin","France (FRA)Antoine RichardPascal BarréPatrick BarréHermann Panzo","4 × 100 metres relay","men"
"1984 Los Angelesdetails","United States (USA)Sam GraddyRon BrownCalvin SmithCarl Lewis","Jamaica (JAM)Albert LawrenceGreg MeghooDon QuarrieRay Stewart","Canada (CAN)Ben JohnsonTony SharpeDesai WilliamsSterling Hinds","4 × 100 metres relay","men"
"1988 Seouldetails","Soviet Union (URS)Viktor BryzhinVladimir KrylovVladimir MuravyovVitaliy Savin","Great Britain (GBR)Elliot BunneyJohn RegisMike McFarlaneLinford Christie","France (FRA)Bruno Marie-RoseDaniel SangoumaGilles QuenehervéMax Morinière","4 × 100 metres relay","men"
"1992 Barcelonadetails","United States (USA)Michael MarshLeroy BurrellDennis MitchellCarl LewisJames Jett*","Nigeria (NGR)Oluyemi KayodeChidi ImohOlapade AdenikenDavidson EzinwaOsmond Ezinwa*","Cuba (CUB)Andrés SimónJoel LamelaJoel IsasiJorge Aguilera","4 × 100 metres relay","men"
"1996 Atlantadetails","Canada (CAN)Robert EsmieGlenroy GilbertBruny SurinDonovan BaileyCarlton Chambers*","United States (USA)Jon DrummondTim HardenMichael MarshDennis MitchellTim Montgomery*","Brazil (BRA)Arnaldo da SilvaRobson da SilvaEdson RibeiroAndré da Silva","4 × 100 metres relay","men"
"2000 Sydneydetails","United States (USA)Jon DrummondBernard WilliamsBrian LewisMaurice GreeneTim Montgomery*Kenny Brokenburr*","Brazil (BRA)Vicente de LimaEdson RibeiroAndré da SilvaClaudinei da SilvaCláudio Souza","Cuba (CUB)José Ángel CésarLuis Alberto Pérez-RiondaIvan GarcíaFreddy Mayola","4 × 100 metres relay","men"
"2004 Athensdetails","Great Britain (GBR)Jason GardenerDarren CampbellMarlon DevonishMark Lewis-Francis","United States (USA)Shawn CrawfordJustin GatlinCoby MillerMaurice GreeneDarvis Patton*","Nigeria (NGR)Olusoji FasubaUchenna EmedoluAaron EgbeleDeji Aliu","4 × 100 metres relay","men"
"2008 Beijingdetails","Trinidad and Tobago (TRI)Keston BledmanMarc BurnsEmmanuel CallenderRichard ThompsonAaron Armstrong*","Japan (JPN)Naoki TsukaharaShingo SuetsuguShinji TakahiraNobuharu Asahara","Brazil (BRA)Vicente LimaSandro VianaBruno de BarrosJose Carlos Moreira","4 × 100 metres relay","men"
"2012 Londondetails","Jamaica (JAM)Nesta CarterMichael FraterYohan BlakeUsain BoltKemar Bailey-Cole*","Trinidad and Tobago (TRI)Richard ThompsonMarc BurnsEmmanuel CallenderKeston Bledman","France (FRA)Jimmy VicautChristophe LemaitrePierre-Alexis PessonneauxRonald Pognon","4 × 100 metres relay","men"
"2016 Rio de Janeirodetails","Jamaica (JAM)Asafa PowellYohan BlakeNickel AshmeadeUsain BoltJevaughn Minzie*Kemar Bailey-Cole*","Japan (JPN)Ryota YamagataShota IizukaYoshihide KiryuAsuka Cambridge","Canada (CAN)Akeem HaynesAaron BrownBrendon RodneyAndre De GrasseMobolade Ajomale*","4 × 100 metres relay","men"
"1912 Stockholmdetails","United States (USA)Mel SheppardEdward LindbergTed MeredithCharles Reidpath","France (FRA)Charles LelongRobert SchurrerPierre FailliotCharles Poulenard","Great Britain (GBR)George NicolErnest HenleyJames SoutterCyril Seedhouse","4 × 400 metres relay","men"
"1920 Antwerpdetails","Great Britain (GBR)Cecil GriffithsRobert LindsayJohn Ainsworth-DavisGuy Butler","South Africa (RSA)Henry DafelClarence OldfieldJack OosterlaakBevil Rudd","France (FRA)Géo AndréGaston FéryMaurice DelvartAndré Devaux","4 × 400 metres relay","men"
"1924 Parisdetails","United States (USA)Commodore CochranAlan HelffrichOliver MacDonaldWilliam Stevenson","Sweden (SWE)Artur SvenssonErik ByléhnGustaf WejnarthNils Engdahl","Great Britain (GBR)Edward TomsGeorge RenwickRichard RipleyGuy Butler","4 × 400 metres relay","men"
"1928 Amsterdamdetails","United States (USA)George BairdEmerson SpencerFred AldermanRay Barbuti","Germany (GER)Otto NeumannHarry Werner StorzRichard KrebsHermann Engelhard","Canada (CAN)Alex WilsonPhil EdwardsStanley GloverJames Ball","4 × 400 metres relay","men"
"1932 Los Angelesdetails","United States (USA)Ivan FuquaEd AblowichKarl WarnerBill Carr","Great Britain (GBR)Crew StoneleyTommy HampsonDavid BurghleyGodfrey Rampling","Canada (CAN)Ray LewisJames BallPhil EdwardsAlex Wilson","4 × 400 metres relay","men"
"1936 Berlindetails","Great Britain (GBR)Freddie WolffGodfrey RamplingBill RobertsGodfrey Brown","United States (USA)Harold CagleRobert YoungEdward O’BrienAl Fitch","Germany (GER)Helmut HamannFriedrich von StülpnagelHarry VoigtRudolf Harbig","4 × 400 metres relay","men"
"1948 Londondetails","United States (USA)Arthur HarndenCliff BourlandRoy CochranMal Whitfield","France (FRA)Jean KerebelFrancis SchewettaRobert Chef d'HôtelJacques Lunis","Sweden (SWE)Kurt LundquistLars-Erik WolfbrandtFolke AlnevikRune Larsson","4 × 400 metres relay","men"
"1952 Helsinkidetails","Jamaica (JAM)Arthur WintLeslie LaingHerb McKenleyGeorge Rhoden","United States (USA)Ollie MatsonGene ColeCharles MooreMal Whitfield","Germany (GER)Hans GeisterGünther SteinesHeinz UlzheimerKarl-Friedrich Haas","4 × 400 metres relay","men"
"1956 Melbournedetails","United States (USA)Charles JenkinsLou JonesJesse MashburnTom Courtney","Australia (AUS)Graham GipsonLeon GregoryDavid LeanKevan Gosper","Great Britain (GBR)Peter HigginsMichael WheelerJohn SalisburyDerek Johnson","4 × 400 metres relay","men"
"1960 Romedetails","United States (USA)Jack YermanEarl YoungGlenn DavisOtis Davis","United Team of Germany (EUA)Hans-Joachim ReskeManfred KinderJohannes KaiserCarl Kaufmann","British West Indies (BWI)Malcolm SpenceJim WedderburnKeith GardnerGeorge Kerr","4 × 400 metres relay","men"
"1964 Tokyodetails","United States (USA)Ollan CassellMike LarrabeeUlis WilliamsHenry Carr","Great Britain (GBR)Tim GrahamAdrian MetcalfeJohn CooperRobbie Brightwell","Trinidad and Tobago (TRI)Edwin SkinnerKent BernardEdwin RobertsWendell Mottley","4 × 400 metres relay","men"
"1968 Mexico Citydetails","United States (USA)Vincent MatthewsRon FreemanLarry JamesLee Evans","Kenya (KEN)Daniel RudishaMunyoro NyamauNaftali BonCharles Asati","West Germany (FRG)Helmar MüllerManfred KinderGerhard HennigeMartin Jellinghaus","4 × 400 metres relay","men"
"1972 Munichdetails","Kenya (KEN)Charles AsatiMunyoro NyamauRobert OukoJulius Sang","Great Britain (GBR)Martin ReynoldsAlan PascoeDavid HemeryDavid Jenkins","France (FRA)Gilles BertouldDaniel VelasquesFrancis KerbiriouJacques Carette","4 × 400 metres relay","men"
"1976 Montrealdetails","United States (USA)Herman FrazierBenny BrownFred NewhouseMaxie Parks","Poland (POL)Ryszard PodlasJan WernerZbigniew JaremskiJerzy Pietrzyk","West Germany (FRG)Franz-Peter HofmeisterLothar KriegHarald SchmidBernd Herrmann","4 × 400 metres relay","men"
"1980 Moscowdetails","Soviet Union (URS)Remigijus ValiulisMikhail LingeNikolay ChernetskiyViktor Markin","East Germany (GDR)Klaus ThieleAndreas KnebelFrank SchafferVolker Beck","Italy (ITA)Stefano MalinverniMauro ZulianiRoberto TozziPietro Mennea","4 × 400 metres relay","men"
"1984 Los Angelesdetails","United States (USA)Sunder NixRay ArmsteadAlonzo BabersAntonio McKay","Great Britain (GBR)Kriss AkabusiGarry CookTodd BennettPhil Brown","Nigeria (NGR)Sunday UtiMoses UgbusienRotimi PetersInnocent Egbunike","4 × 400 metres relay","men"
"1988 Seouldetails","United States (USA)Danny EverettSteve LewisKevin RobinzineButch Reynolds","Jamaica (JAM)Howard DavisDevon MorrisWinthrop GrahamBert Cameron","West Germany (FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf Lübke","4 × 400 metres relay","men"
"1992 Barcelonadetails","United States (USA)Andrew ValmonQuincy WattsMichael JohnsonSteve LewisDarnell HallCharles Jenkins","Cuba (CUB)Lázaro MartínezHéctor HerreraNorberto TéllezRoberto Hernández","Great Britain (GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine LadejoMark Richardson","4 × 400 metres relay","men"
"1996 Atlantadetails","United States (USA)LaMont SmithAlvin HarrisonDerek MillsAnthuan MaybankJason Rouser","Great Britain (GBR)Iwan ThomasJamie BaulchMark RichardsonRoger BlackDu'aine LadejoMark Hylton","Jamaica (JAM)Michael McDonaldRoxbert MartinGreg HaughtonDavian ClarkeDennis BlakeGarth Robinson","4 × 400 metres relay","men"
"2000 Sydneydetails","Nigeria (NGR)Clement ChukwuJude MonyeSunday BadaEnefiok Udo-ObongNduka AwazieFidelis Gadzama","Jamaica (JAM)Michael BlackwoodGreg HaughtonChristopher WilliamsDanny McFarlaneSanjay AyreMichael McDonald","Bahamas (BAH)Avard MoncurTroy McIntoshCarl OliverChris Brown","4 × 400 metres relay","men"
"2004 Athensdetails","United States (USA)Otis HarrisDerrick BrewJeremy WarinerDarold WilliamsonKelly WillieAndrew Rock","Australia (AUS)John SteffensenMark OrmrodPatrick DwyerClinton Hill","Nigeria (NGR)James GoddayMusa AuduSaul WeigopwaEnefiok Udo-Obong","4 × 400 metres relay","men"
"2008 Beijingdetails","United States (USA)LaShawn MerrittAngelo TaylorDavid NevilleJeremy WarinerKerron ClementReggie Witherspoon","Bahamas (BAH)Andretti BainMichael MathieuAndrae WilliamsChris BrownAvard MoncurRamon Miller","Great Britain (GBR)Martyn RooneyAndrew SteeleRobert TobinMichael Bingham","4 × 400 metres relay","men"
"2012 Londondetails","Bahamas (BAH)Chris Brown Michael Mathieu Ramon MillerDemetrius Pinder","United States (USA) Joshua ManceManteo Mitchell Tony McQuayBryshon NellumAngelo Taylor","Trinidad and Tobago (TRI)Ade Alleyne-Forte Lalonde Gordon Deon LendoreJarrin Solomon","4 × 400 metres relay","men"
"2016 Riodetails","United States (USA)Arman HallTony McQuayGil RobertsLaShawn MerrittKyle Clemons*David Verburg*","Jamaica (JAM)Peter MatthewsNathon AllenFitzroy DunkleyJavon FrancisRusheen McDonald*","Bahamas (BAH)Alonzo RussellMichael MathieuSteven GardinerChris BrownStephen Newbold*","4 × 400 metres relay","men"
"1956 Melbournedetails","Leonid Spirin Soviet Union","Antanas Mikenas Soviet Union","Bruno Junk Soviet Union","20 kilometres race walk","men"
"1960 Romedetails","Volodymyr Holubnychy Soviet Union","Noel Freeman Australia","Stan Vickers Great Britain","20 kilometres race walk","men"
"1964 Tokyodetails","Ken Matthews Great Britain","Dieter Lindner United Team of Germany","Volodymyr Holubnychy Soviet Union","20 kilometres race walk","men"
"1968 Mexico Citydetails","Volodymyr Holubnychy Soviet Union","José Pedraza Mexico","Nikolay Smaga Soviet Union","20 kilometres race walk","men"
"1972 Munichdetails","Peter Frenkel East Germany","Volodymyr Holubnychy Soviet Union","Hans-Georg Reimann East Germany","20 kilometres race walk","men"
"1976 Montrealdetails","Daniel Bautista Mexico","Hans-Georg Reimann East Germany","Peter Frenkel East Germany","20 kilometres race walk","men"
"1980 Moscowdetails","Maurizio Damilano Italy","Pyotr Pochenchuk Soviet Union","Roland Wieser East Germany","20 kilometres race walk","men"
"1984 Los Angelesdetails","Ernesto Canto Mexico","Raúl González Mexico","Maurizio Damilano Italy","20 kilometres race walk","men"
"1988 Seouldetails","Jozef Pribilinec Czechoslovakia","Ronald Weigel East Germany","Maurizio Damilano Italy","20 kilometres race walk","men"
"1992 Barcelonadetails","Daniel Plaza Spain","Guillaume LeBlanc Canada","Giovanni De Benedictis Italy","20 kilometres race walk","men"
"1996 Atlantadetails","Jefferson Pérez Ecuador","Ilya Markov Russia","Bernardo Segura Mexico","20 kilometres race walk","men"
"2000 Sydneydetails","Robert Korzeniowski Poland","Noé Hernández Mexico","Vladimir Andreyev Russia","20 kilometres race walk","men"
"2004 Athensdetails","Ivano Brugnetti Italy","Paquillo Fernández Spain","Nathan Deakes Australia","20 kilometres race walk","men"
"2008 Beijingdetails","Valeriy Borchin Russia","Jefferson Pérez Ecuador","Jared Tallent Australia","20 kilometres race walk","men"
"2012 Londondetails","Chen Ding China","Erick Barrondo Guatemala","Wang Zhen China","20 kilometres race walk","men"
"2016 Rio de Janeirodetails","Wang Zhen China","Cai Zelin China","Dane Bird-Smith Australia","20 kilometres race walk","men"
"1932 Los Angelesdetails","Tommy Green Great Britain","Janis Dalinš Latvia","Ugo Frigerio Italy","50 kilometres race walk","men"
"1936 Berlindetails","Harold Whitlock Great Britain","Arthur Tell Schwab Switzerland","Adalberts Bubenko Latvia","50 kilometres race walk","men"
"1948 Londondetails","John Ljunggren Sweden","Gaston Godel Switzerland","Tebbs Lloyd Johnson Great Britain","50 kilometres race walk","men"
"1952 Helsinkidetails","Pino Dordoni Italy","Josef Doležal Czechoslovakia","Antal Róka Hungary","50 kilometres race walk","men"
"1956 Melbournedetails","Norman Read New Zealand","Yevgeniy Maskinskov Soviet Union","John Ljunggren Sweden","50 kilometres race walk","men"
"1960 Romedetails","Don Thompson Great Britain","John Ljunggren Sweden","Abdon Pamich Italy","50 kilometres race walk","men"
"1964 Tokyodetails","Abdon Pamich Italy","Paul Nihill Great Britain","Ingvar Pettersson Sweden","50 kilometres race walk","men"
"1968 Mexico Citydetails","Christoph Höhne East Germany","Antal Kiss Hungary","Larry Young United States","50 kilometres race walk","men"
"1972 Munichdetails","Bernd Kannenberg West Germany","Veniamin Soldatenko Soviet Union","Larry Young United States","50 kilometres race walk","men"
"1976 Montreal","not included in the Olympic program",NA,NA,"50 kilometres race walk","men"
"1980 Moscowdetails","Hartwig Gauder East Germany","Jordi Llopart Spain","Yevgeniy Ivchenko Soviet Union","50 kilometres race walk","men"
"1984 Los Angelesdetails","Raúl González Mexico","Bo Gustafsson Sweden","Sandro Bellucci Italy","50 kilometres race walk","men"
"1988 Seouldetails","Vyacheslav Ivanenko Soviet Union","Ronald Weigel East Germany","Hartwig Gauder East Germany","50 kilometres race walk","men"
"1992 Barcelonadetails","Andrey Perlov Unified Team","Carlos Mercenario Mexico","Ronald Weigel Germany","50 kilometres race walk","men"
"1996 Atlantadetails","Robert Korzeniowski Poland","Mikhail Shchennikov Russia","Valentí Massana Spain","50 kilometres race walk","men"
"2000 Sydneydetails","Robert Korzeniowski Poland","Aigars Fadejevs Latvia","Joel Sánchez Mexico","50 kilometres race walk","men"
"2004 Athensdetails","Robert Korzeniowski Poland","Denis Nizhegorodov Russia","Aleksey Voyevodin Russia","50 kilometres race walk","men"
"2008 Beijingdetails","Alex Schwazer Italy","Jared Tallent Australia","Denis Nizhegorodov Russia","50 kilometres race walk","men"
"2012 Londondetails","Jared Tallent Australia","Si Tianfeng China","Robert Heffernan Ireland","50 kilometres race walk","men"
"2016 Rio de Janeirodetails","Matej Tóth Slovakia","Jared Tallent Australia","Hirooki Arai Japan","50 kilometres race walk","men"
"1896 Athensdetails","Ellery Harding Clark United States","James Connolly United States","none awarded","High jump","men"
"Robert Garrett United States",NA,NA,NA,"High jump","men"
"1900 Parisdetails","Irving Baxter United States","Patrick Leahy Great Britain","Lajos Gönczy Hungary","High jump","men"
"1904 St. Louisdetails","Samuel Jones United States","Garrett Serviss United States","Paul Weinstein Germany","High jump","men"
"1908 Londondetails","Harry Porter United States","Géo André France","none awarded","High jump","men"
"Con Leahy Great Britain",NA,NA,NA,"High jump","men"
"István Somodi Hungary",NA,NA,NA,"High jump","men"
"1912 Stockholmdetails","Alma Richards United States","Hans Liesche Germany","George Horine United States","High jump","men"
"1920 Antwerpdetails","Richmond Landon United States","Harold Muller United States","Bo Ekelund Sweden","High jump","men"
"1924 Parisdetails","Harold Osborn United States","Leroy Brown United States","Pierre Lewden France","High jump","men"
"1928 Amsterdamdetails","Bob King United States","Benjamin Hedges United States","Claude Ménard France","High jump","men"
"1932 Los Angelesdetails","Duncan McNaughton Canada","Bob Van Osdel United States","Simeon Toribio Philippines","High jump","men"
"1936 Berlindetails","Cornelius Johnson United States","Dave Albritton United States","Delos Thurber United States","High jump","men"
"1948 Londondetails","John Winter Australia","Bjørn Paulson Norway","George Stanich United States","High jump","men"
"1952 Helsinkidetails","Walt Davis United States","Ken Wiesner United States","José da Conceição Brazil","High jump","men"
"1956 Melbournedetails","Charles Dumas United States","Chilla Porter Australia","Igor Kashkarov Soviet Union","High jump","men"
"1960 Romedetails","Robert Shavlakadze Soviet Union","Valeriy Brumel Soviet Union","John Thomas United States","High jump","men"
"1964 Tokyodetails","Valeriy Brumel Soviet Union","John Thomas United States","John Rambo United States","High jump","men"
"1968 Mexico Citydetails","Dick Fosbury United States","Ed Caruthers United States","Valentin Gavrilov Soviet Union","High jump","men"
"1972 Munichdetails","Jüri Tarmak Soviet Union","Stefan Junge East Germany","Dwight Stones United States","High jump","men"
"1976 Montrealdetails","Jacek Wszola Poland","Greg Joy Canada","Dwight Stones United States","High jump","men"
"1980 Moscowdetails","Gerd Wessig East Germany","Jacek Wszola Poland","Jörg Freimuth East Germany","High jump","men"
"1984 Los Angelesdetails","Dietmar Mögenburg West Germany","Patrik Sjöberg Sweden","Zhu Jianhua China","High jump","men"
"1988 Seouldetails","Hennadiy Avdyeyenko Soviet Union","Hollis Conway United States","Rudolf Povarnitsyn Soviet Union","High jump","men"
"Patrik Sjöberg Sweden",NA,NA,NA,"High jump","men"
"1992 Barcelonadetails","Javier Sotomayor Cuba","Patrik Sjöberg Sweden","Hollis Conway United States","High jump","men"
"Tim Forsyth Australia",NA,NA,NA,"High jump","men"
"Artur Partyka Poland",NA,NA,NA,"High jump","men"
"1996 Atlantadetails","Charles Austin United States","Artur Partyka Poland","Steve Smith Great Britain","High jump","men"
"2000 Sydneydetails","Sergey Klyugin Russia","Javier Sotomayor Cuba","Abderahmane Hammad Algeria","High jump","men"
"2004 Athensdetails","Stefan Holm Sweden","Matt Hemingway United States","Jaroslav Bába Czech Republic","High jump","men"
"2008 Beijingdetails","Andrey Silnov Russia","Germaine Mason Great Britain","Yaroslav Rybakov Russia","High jump","men"
"2012 Londondetails","Not awarded","Erik Kynard United States","Mutaz Essa Barshim Qatar","High jump","men"
"Derek Drouin Canada",NA,NA,NA,"High jump","men"
"Robert Grabarz Great Britain",NA,NA,NA,"High jump","men"
"2016 Rio de Janeirodetails","Derek Drouin Canada","Mutaz Essa Barshim Qatar","Bohdan Bondarenko Ukraine","High jump","men"
"1896 Athensdetails","William Hoyt United States","Albert Tyler United States","Evangelos Damaskos Greece","Pole vault","men"
"Ioannis Theodoropoulos Greece",NA,NA,NA,"Pole vault","men"
"1900 Parisdetails","Irving Baxter United States","Meredith Colket United States","Carl Albert Andersen Norway","Pole vault","men"
"1904 St. Louisdetails","Charles Dvorak United States","LeRoy Samse United States","Louis Wilkins United States","Pole vault","men"
"1908 Londondetails","Edward Cook United States","none awarded","Edward Archibald Canada","Pole vault","men"
"Clare Jacobs United States",NA,NA,NA,"Pole vault","men"
"Alfred Gilbert United States",NA,NA,NA,"Pole vault","men"
"Bruno Söderström Sweden",NA,NA,NA,"Pole vault","men"
"1912 Stockholmdetails","Harry Babcock United States","Frank Nelson United States","William Halpenny Canada","Pole vault","men"
"Frank Murphy United States",NA,NA,NA,"Pole vault","men"
"Marc Wright United States",NA,NA,NA,"Pole vault","men"
"Bertil Uggla Sweden",NA,NA,NA,"Pole vault","men"
"1920 Antwerpdetails","Frank Foss United States","Henry Petersen Denmark","Edwin Myers United States","Pole vault","men"
"1924 Parisdetails","Lee Barnes United States","Glen Graham United States","James Brooker United States","Pole vault","men"
"1928 Amsterdamdetails","Sabin Carr United States","William Droegemueller United States","Charles McGinnis United States","Pole vault","men"
"1932 Los Angelesdetails","Bill Miller United States","Shuhei Nishida Japan","George Jefferson United States","Pole vault","men"
"1936 Berlindetails","Earle Meadows United States","Shuhei Nishida Japan","Sueo Oe Japan","Pole vault","men"
"1948 Londondetails","Guinn Smith United States","Erkki Kataja Finland","Bob Richards United States","Pole vault","men"
"1952 Helsinkidetails","Bob Richards United States","Don Laz United States","Ragnar Lundberg Sweden","Pole vault","men"
"1956 Melbournedetails","Bob Richards United States","Bob Gutowski United States","Georgios Roubanis Greece","Pole vault","men"
"1960 Romedetails","Don Bragg United States","Ron Morris United States","Eeles Landström Finland","Pole vault","men"
"1964 Tokyodetails","Fred Hansen United States","Wolfgang Reinhardt United Team of Germany","Klaus Lehnertz United Team of Germany","Pole vault","men"
"1968 Mexico Citydetails","Bob Seagren United States","Claus Schiprowski West Germany","Wolfgang Nordwig East Germany","Pole vault","men"
"1972 Munichdetails","Wolfgang Nordwig East Germany","Bob Seagren United States","Jan Johnson United States","Pole vault","men"
"1976 Montrealdetails","Tadeusz Slusarski Poland","Antti Kalliomäki Finland","David Roberts United States","Pole vault","men"
"1980 Moscowdetails","Wladyslaw Kozakiewicz Poland","Tadeusz Slusarski Poland","none awarded","Pole vault","men"
"Konstantin Volkov Soviet Union",NA,NA,NA,"Pole vault","men"
"1984 Los Angelesdetails","Pierre Quinon France","Mike Tully United States","Earl Bell United States","Pole vault","men"
"Thierry Vigneron France",NA,NA,NA,"Pole vault","men"
"1988 Seouldetails","Sergey Bubka Soviet Union","Radion Gataullin Soviet Union","Grigoriy Yegorov Soviet Union","Pole vault","men"
"1992 Barcelonadetails","Maksim Tarasov Unified Team","Igor Trandenkov Unified Team","Javier García Spain","Pole vault","men"
"1996 Atlantadetails","Jean Galfione France","Igor Trandenkov Russia","Andrei Tivontchik Germany","Pole vault","men"
"2000 Sydneydetails","Nick Hysong United States","Lawrence Johnson United States","Maksim Tarasov Russia","Pole vault","men"
"2004 Athensdetails","Timothy Mack United States","Toby Stevenson United States","Giuseppe Gibilisco Italy","Pole vault","men"
"2008 Beijingdetails","Steve Hooker Australia","Yevgeny Lukyanenko Russia","Derek Miles United States","Pole vault","men"
"2012 Londondetails","Renaud Lavillenie France","Björn Otto Germany","Raphael Holzdeppe Germany","Pole vault","men"
"2016 Rio de Janeirodetails","Thiago Braz da Silva Brazil","Renaud Lavillenie France","Sam Kendricks United States","Pole vault","men"
"1896 Athensdetails","Ellery Clark United States","Robert Garrett United States","James Connolly United States","Long jump","men"
"1900 Parisdetails","Alvin Kraenzlein United States","Myer Prinstein United States","Patrick Leahy Great Britain","Long jump","men"
"1904 St. Louisdetails","Myer Prinstein United States","Daniel Frank United States","Robert Stangland United States","Long jump","men"
"1908 Londondetails","Frank Irons United States","Daniel Kelly United States","Calvin Bricker Canada","Long jump","men"
"1912 Stockholmdetails","Albert Gutterson United States","Calvin Bricker Canada","Georg Åberg Sweden","Long jump","men"
"1920 Antwerpdetails","William Petersson Sweden","Carl Johnson United States","Erik Abrahamsson Sweden","Long jump","men"
"1924 Parisdetails","DeHart Hubbard United States","Edward Gourdin United States","Sverre Hansen Norway","Long jump","men"
"1928 Amsterdamdetails","Ed Hamm United States","Silvio Cator Haiti","Al Bates United States","Long jump","men"
"1932 Los Angelesdetails","Ed Gordon United States","Lambert Redd United States","Chuhei Nambu Japan","Long jump","men"
"1936 Berlindetails","Jesse Owens United States","Luz Long Germany","Naoto Tajima Japan","Long jump","men"
"1948 Londondetails","Willie Steele United States","Bill Bruce Australia","Herb Douglas United States","Long jump","men"
"1952 Helsinkidetails","Jerome Biffle United States","Meredith Gourdine United States","Ödön Földessy Hungary","Long jump","men"
"1956 Melbournedetails","Gregory Bell United States","John Bennett United States","Jorma Valkama Finland","Long jump","men"
"1960 Romedetails","Ralph Boston United States","Bo Roberson United States","Igor Ter-Ovanesyan Soviet Union","Long jump","men"
"1964 Tokyodetails","Lynn Davies Great Britain","Ralph Boston United States","Igor Ter-Ovanesyan Soviet Union","Long jump","men"
"1968 Mexico Citydetails","Bob Beamon United States","Klaus Beer East Germany","Ralph Boston United States","Long jump","men"
"1972 Munichdetails","Randy Williams United States","Hans Baumgartner West Germany","Arnie Robinson United States","Long jump","men"
"1976 Montrealdetails","Arnie Robinson United States","Randy Williams United States","Frank Wartenberg East Germany","Long jump","men"
"1980 Moscowdetails","Lutz Dombrowski East Germany","Frank Paschek East Germany","Valeriy Pidluzhnyy Soviet Union","Long jump","men"
"1984 Los Angelesdetails","Carl Lewis United States","Gary Honey Australia","Giovanni Evangelisti Italy","Long jump","men"
"1988 Seouldetails","Carl Lewis United States","Mike Powell United States","Larry Myricks United States","Long jump","men"
"1992 Barcelonadetails","Carl Lewis United States","Mike Powell United States","Joe Greene United States","Long jump","men"
"1996 Atlantadetails","Carl Lewis United States","James Beckford Jamaica","Joe Greene United States","Long jump","men"
"2000 Sydneydetails","Iván Pedroso Cuba","Jai Taurima Australia","Roman Shchurenko Ukraine","Long jump","men"
"2004 Athensdetails","Dwight Phillips United States","John Moffitt United States","Joan Lino Martínez Spain","Long jump","men"
"2008 Beijingdetails","Irving Saladino Panama","Godfrey Khotso Mokoena South Africa","Ibrahim Camejo Cuba","Long jump","men"
"2012 Londondetails","Greg Rutherford Great Britain","Mitchell Watt Australia","Will Claye United States","Long jump","men"
"2016 Rio de Janeirodetails","Jeff Henderson United States","Luvo Manyonga South Africa","Greg Rutherford Great Britain","Long jump","men"
"1896 Athensdetails","James Connolly United States","Alexandre Tuffère France","Ioannis Persakis Greece","Triple jump","men"
"1900 Parisdetails","Myer Prinstein United States","James Connolly United States","Lewis Sheldon United States","Triple jump","men"
"1904 St. Louisdetails","Myer Prinstein United States","Fred Englehardt United States","Robert Stangland United States","Triple jump","men"
"1908 Londondetails","Tim Ahearne Great Britain","Garfield MacDonald Canada","Edvard Larsen Norway","Triple jump","men"
